Provincia,Periodo,Media_tmed,Media_prec,Media_sol,Media_tmin,Media_tmax,Población,Latitud,Longitud
Huelva,2017-05-01,19.758064516129032,1.6697247706422018,10.838709677419354,14.239516129032259,25.276612903225807,149310,37.26004113,-6.95040588
Huelva,2017-06-01,24.84871794871795,0.0052173913043478265,12.832258064516129,18.235042735042736,31.464102564102564,149310,37.26004113,-6.95040588
Huelva,2017-07-01,26.04591836734694,0.0,12.85483870967742,19.31326530612245,32.77040816326531,149310,37.26004113,-6.95040588
Huelva,2017-08-01,26.530578512396694,0.054700854700854694,12.009677419354839,19.96694214876033,33.08842975206611,149310,37.26004113,-6.95040588
Huelva,2017-09-01,23.423333333333336,0.0,11.19032258064516,17.095833333333335,29.764166666666664,149310,37.26004113,-6.95040588
Huelva,2017-10-01,21.937096774193545,0.7754098360655737,9.219354838709679,15.879032258064516,27.99274193548387,149310,37.26004113,-6.95040588
Huelva,2017-11-01,15.386666666666667,0.9298245614035088,8.103225806451613,9.835833333333333,20.935,149310,37.26004113,-6.95040588
Huelva,2017-12-01,11.695934959349593,1.710569105691057,7.135483870967741,6.866666666666667,16.524390243902438,149310,37.26004113,-6.95040588
Huelva,2018-01-01,11.248387096774193,1.6900826446280992,6.509677419354839,6.539516129032258,15.962096774193547,149310,37.26004113,-6.95040588
Huelva,2018-02-01,10.921848739495799,5.050413223140496,7.519354838709678,5.912605042016807,15.920168067226891,149310,37.26004113,-6.95040588
Huelva,2018-03-01,12.70084745762712,7.274038461538462,6.470967741935484,8.85677966101695,16.548305084745763,149310,37.26004113,-6.95040588
Huelva,2018-04-01,14.883193277310923,3.3605504587155965,8.432258064516128,10.163865546218487,19.603361344537817,149310,37.26004113,-6.95040588
Huelva,2018-05-01,17.306306306306308,1.4411764705882353,10.361290322580645,12.065765765765766,22.552252252252252,149310,37.26004113,-6.95040588
Huelva,2018-06-01,20.741071428571427,0.803305785123967,11.17741935483871,15.725892857142856,25.761607142857144,149310,37.26004113,-6.95040588
Huelva,2018-07-01,22.830434782608695,0.0,12.961290322580645,16.976521739130433,28.68782608695652,149310,37.26004113,-6.95040588
Huelva,2018-08-01,26.641592920353983,0.01951219512195122,12.083870967741936,20.013274336283185,33.2716814159292,149310,37.26004113,-6.95040588
Huelva,2018-09-01,24.653846153846153,0.5194915254237288,10.461290322580645,19.004273504273506,30.311965811965813,149310,37.26004113,-6.95040588
Huelva,2018-10-01,18.56693548387097,3.6439024390243904,7.34516129032258,13.837903225806452,23.291129032258063,149310,37.26004113,-6.95040588
Huelva,2018-11-01,13.787096774193548,4.351639344262295,5.825806451612903,9.78225806451613,17.787096774193547,149310,37.26004113,-6.95040588
Huelva,2018-12-01,12.859677419354838,0.4846774193548387,7.670967741935484,7.714516129032258,18.008064516129032,149310,37.26004113,-6.95040588
Huelva,2019-01-01,11.055284552845528,0.7156521739130435,7.425806451612903,5.685365853658536,16.4260162601626,149310,37.26004113,-6.95040588
Huelva,2019-02-01,12.819672131147541,0.19917355371900825,9.435483870967742,6.977868852459016,18.652459016393443,149310,37.26004113,-6.95040588
Huelva,2019-03-01,14.98181818181818,0.415,9.951612903225806,8.87107438016529,21.0900826446281,149310,37.26004113,-6.95040588
Huelva,2019-04-01,15.531932773109244,2.3542372881355935,9.293548387096775,10.302521008403362,20.763865546218486,149310,37.26004113,-6.95040588
Huelva,2019-05-01,20.509090909090908,0.03636363636363637,12.503225806451614,14.34793388429752,26.672727272727272,149310,37.26004113,-6.95040588
Huelva,2019-06-01,21.059349593495938,0.0032520325203252032,12.858064516129033,15.235772357723578,26.879674796747967,149310,37.26004113,-6.95040588
Huelva,2019-07-01,23.95714285714286,0.01440677966101695,12.793548387096775,18.17310924369748,29.733613445378154,149310,37.26004113,-6.95040588
