Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-11-30,54627,3607
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-10-31,620531,3608
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-09-30,822354,3609
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-08-31,894903,3610
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-07-31,837887,3611
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-06-30,415541,3612
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-05-31,161116,3613
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-04-30,46977,3614
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-03-31,15856,3615
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-02-28,3913,3616
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2021-01-31,3074,3617
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-12-31,383443,3618
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-11-30,423738,3619
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-10-31,496682,3620
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-09-30,368389,3621
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-08-31,424333,3622
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-07-31,316950,3623
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-06-30,184869,3624
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-05-31,118486,3625
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-04-30,83745,3626
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-03-31,70156,3627
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-02-28,47678,3628
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2021-01-31,51311,3629
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-12-31,74704,3630
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-11-30,66627,3631
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-10-31,103897,3632
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-09-30,133112,3633
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-08-31,193222,3634
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-07-31,149497,3635
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-06-30,96552,3636
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-05-31,68670,3637
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-04-30,50344,3638
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-03-31,40217,3639
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-02-28,28100,3640
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2021-01-31,22561,3641
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-12-31,308739,3642
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-11-30,357111,3643
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-10-31,392785,3644
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-09-30,235277,3645
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-08-31,231111,3646
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-07-31,167453,3647
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-06-30,88317,3648
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-05-31,49815,3649
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-04-30,33400,3650
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-03-31,29938,3651
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-02-28,19578,3652
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2021-01-31,28751,3653
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-12-31,277182,3654
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-11-30,298234,3655
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-10-31,331192,3656
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-09-30,260379,3657
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-08-31,287647,3658
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-07-31,208923,3659
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-06-30,121838,3660
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-05-31,93892,3661
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-04-30,71003,3662
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-03-31,63864,3663
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-02-28,48902,3664
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2021-01-31,37452,3665
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-12-31,77897,3666
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-11-30,70673,3667
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-10-31,99379,3668
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-09-30,106741,3669
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-08-31,151804,3670
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-07-31,121343,3671
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-06-30,75420,3672
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-05-31,56402,3673
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-04-30,38697,3674
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-03-31,38329,3675
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-02-28,29344,3676
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2021-01-31,19366,3677
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-12-31,199285,3678
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-11-30,227561,3679
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-10-31,231814,3680
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-09-30,153639,3681
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-08-31,135843,3682
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-07-31,87580,3683
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-06-30,46418,3684
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-05-31,37490,3685
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-04-30,32306,3686
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-03-31,25536,3687
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-02-28,19558,3688
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2021-01-31,18085,3689
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-12-31,43377,3690
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-11-30,54137,3691
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-10-31,103960,3692
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-09-30,142474,3693
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-08-31,198935,3694
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-07-31,161722,3695
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-06-30,94305,3696
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-05-31,40479,3697
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-04-30,17641,3698
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-03-31,18049,3699
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-02-28,17753,3700
Total Nacional,Cantabria,Cantabria,Viajero,General,2021-01-31,14977,3701
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-12-31,36811,3702
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-11-30,45734,3703
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-10-31,83428,3704
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-09-30,114827,3705
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-08-31,174182,3706
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-07-31,140488,3707
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-06-30,84606,3708
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-05-31,36882,3709
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-04-30,15971,3710
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-03-31,16481,3711
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-02-28,16225,3712
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2021-01-31,13683,3713
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-12-31,6565,3714
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-11-30,8404,3715
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-10-31,20532,3716
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-09-30,27647,3717
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-08-31,24753,3718
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-07-31,21235,3719
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-06-30,9699,3720
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-05-31,3597,3721
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-04-30,1670,3722
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-03-31,1569,3723
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-02-28,1528,3724
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2021-01-31,1293,3725
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-12-31,21551,3726
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-11-30,21046,3727
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-10-31,32525,3728
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-09-30,30647,3729
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-08-31,44945,3730
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-07-31,28808,3731
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-06-30,21671,3732
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-05-31,13192,3733
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-04-30,6804,3734
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-03-31,6391,3735
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-02-28,4285,3736
Total Nacional,Castilla y leon,Avila,Viajero,General,2021-01-31,2960,3737
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-12-31,19749,3738
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-11-30,19144,3739
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-10-31,29246,3740
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-09-30,27677,3741
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-08-31,42517,3742
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-07-31,27190,3743
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-06-30,20421,3744
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-05-31,12457,3745
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-04-30,6581,3746
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-03-31,6107,3747
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-02-28,4096,3748
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2021-01-31,2822,3749
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-12-31,1802,3750
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-11-30,1902,3751
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-10-31,3279,3752
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-09-30,2970,3753
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-08-31,2427,3754
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-07-31,1618,3755
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-06-30,1250,3756
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-05-31,735,3757
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-04-30,223,3758
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-03-31,284,3759
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-02-28,189,3760
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2021-01-31,139,3761
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-12-31,41992,3762
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-11-30,49873,3763
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-10-31,75847,3764
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-09-30,72458,3765
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-08-31,100393,3766
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-07-31,72342,3767
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-06-30,41505,3768
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-05-31,26604,3769
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-04-30,17071,3770
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-03-31,14380,3771
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-02-28,10544,3772
Total Nacional,Castilla y leon,Burgos,Viajero,General,2021-01-31,10272,3773
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-12-31,33229,3774
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-11-30,39043,3775
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-10-31,56241,3776
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-09-30,51395,3777
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-08-31,77226,3778
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-07-31,49947,3779
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-06-30,33498,3780
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-05-31,22134,3781
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-04-30,15015,3782
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-03-31,11817,3783
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-02-28,9038,3784
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2021-01-31,8271,3785
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-12-31,8763,3786
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-11-30,10830,3787
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-10-31,19605,3788
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-09-30,21062,3789
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-08-31,23167,3790
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-07-31,22395,3791
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-06-30,8007,3792
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-05-31,4470,3793
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-04-30,2056,3794
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-03-31,2562,3795
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-02-28,1506,3796
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2021-01-31,2001,3797
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-12-31,34876,3798
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-11-30,44607,3799
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-10-31,74184,3800
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-09-30,75403,3801
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-08-31,106019,3802
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-07-31,69324,3803
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-06-30,42093,3804
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-05-31,27814,3805
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-04-30,19768,3806
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-03-31,16145,3807
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-02-28,8700,3808
Total Nacional,Castilla y leon,Leon,Viajero,General,2021-01-31,8690,3809
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-12-31,31915,3810
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-11-30,39687,3811
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-10-31,61746,3812
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-09-30,59528,3813
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-08-31,95422,3814
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-07-31,61004,3815
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-06-30,37810,3816
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-05-31,25673,3817
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-04-30,18803,3818
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-03-31,14953,3819
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-02-28,8159,3820
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2021-01-31,7996,3821
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-12-31,2962,3822
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-11-30,4920,3823
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-10-31,12438,3824
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-09-30,15875,3825
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-08-31,10597,3826
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-07-31,8321,3827
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-06-30,4283,3828
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-05-31,2141,3829
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-04-30,965,3830
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-03-31,1192,3831
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-02-28,541,3832
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2021-01-31,694,3833
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-12-31,8242,3834
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-11-30,11334,3835
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-10-31,18166,3836
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-09-30,18188,3837
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-08-31,22902,3838
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-07-31,16840,3839
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-06-30,11452,3840
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-05-31,7991,3841
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-04-30,4738,3842
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-03-31,4221,3843
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-02-28,2984,3844
Total Nacional,Castilla y leon,Palencia,Viajero,General,2021-01-31,2526,3845
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-12-31,7585,3846
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-11-30,9758,3847
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-10-31,14786,3848
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-09-30,14075,3849
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-08-31,20077,3850
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-07-31,14097,3851
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-06-30,10330,3852
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-05-31,6758,3853
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-04-30,4363,3854
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-03-31,3905,3855
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-02-28,2631,3856
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2021-01-31,2029,3857
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-12-31,657,3858
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-11-30,1576,3859
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-10-31,3380,3860
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-09-30,4113,3861
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-08-31,2825,3862
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-07-31,2743,3863
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-06-30,1122,3864
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-05-31,1233,3865
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-04-30,375,3866
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-03-31,316,3867
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-02-28,353,3868
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2021-01-31,497,3869
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-12-31,52856,3870
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-11-30,58326,3871
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-10-31,86709,3872
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-09-30,82435,3873
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-08-31,106591,3874
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-07-31,75183,3875
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-06-30,47145,3876
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-05-31,32670,3877
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-04-30,16190,3878
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-03-31,15416,3879
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-02-28,9553,3880
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2021-01-31,7867,3881
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-12-31,43750,3882
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-11-30,47090,3883
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-10-31,66314,3884
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-09-30,66541,3885
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-08-31,86629,3886
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-07-31,61599,3887
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-06-30,39554,3888
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-05-31,28438,3889
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-04-30,14908,3890
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-03-31,14084,3891
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-02-28,8729,3892
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2021-01-31,6753,3893
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-12-31,9107,3894
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-11-30,11236,3895
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-10-31,20395,3896
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-09-30,15894,3897
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-08-31,19962,3898
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-07-31,13584,3899
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-06-30,7592,3900
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-05-31,4231,3901
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-04-30,1282,3902
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-03-31,1332,3903
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-02-28,824,3904
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2021-01-31,1114,3905
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-12-31,24398,3906
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-11-30,27750,3907
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-10-31,43415,3908
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-09-30,38452,3909
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-08-31,62167,3910
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-07-31,45588,3911
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-06-30,24977,3912
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-05-31,15089,3913
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-04-30,5734,3914
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-03-31,5965,3915
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-02-28,2727,3916
Total Nacional,Castilla y leon,Segovia,Viajero,General,2021-01-31,1979,3917
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-12-31,21647,3918
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-11-30,23758,3919
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-10-31,37595,3920
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-09-30,31690,3921
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-08-31,56120,3922
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-07-31,40941,3923
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-06-30,22788,3924
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-05-31,13721,3925
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-04-30,5316,3926
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-03-31,5491,3927
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-02-28,2374,3928
Total Nacional,Castilla y leon,Segovia,Viajero,Espana,2021-01-31,1799,3929
Total Nacional,Castilla y leon,Segovia,Viajero,Extranjero,2021-12-31,2751,3930
Total Nacional,Castilla y leon,Segovia,Viajero,Extranjero,2021-11-30,3992,3931
