Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-02-28,23598,79
Total Nacional,Andalucia,Cordoba,Viajero,Extranjero,2023-01-31,20097,80
Total Nacional,Andalucia,Granada,Viajero,General,2023-09-30,262778,81
Total Nacional,Andalucia,Granada,Viajero,General,2023-08-31,255216,82
Total Nacional,Andalucia,Granada,Viajero,General,2023-07-31,227876,83
Total Nacional,Andalucia,Granada,Viajero,General,2023-06-30,228645,84
Total Nacional,Andalucia,Granada,Viajero,General,2023-05-31,232252,85
Total Nacional,Andalucia,Granada,Viajero,General,2023-04-30,252719,86
Total Nacional,Andalucia,Granada,Viajero,General,2023-03-31,227157,87
Total Nacional,Andalucia,Granada,Viajero,General,2023-02-28,198964,88
Total Nacional,Andalucia,Granada,Viajero,General,2023-01-31,189778,89
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-09-30,144260,90
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-08-31,158992,91
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-07-31,134264,92
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-06-30,127994,93
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-05-31,113346,94
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-04-30,142344,95
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-03-31,145045,96
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-02-28,136124,97
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-01-31,128885,98
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-09-30,118518,99
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-08-31,96223,100
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-07-31,93611,101
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-06-30,100652,102
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-05-31,118906,103
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-04-30,110374,104
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-03-31,82112,105
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-02-28,62840,106
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-01-31,60892,107
Total Nacional,Andalucia,Huelva,Viajero,General,2023-09-30,144469,108
Total Nacional,Andalucia,Huelva,Viajero,General,2023-08-31,176951,109
Total Nacional,Andalucia,Huelva,Viajero,General,2023-07-31,164747,110
Total Nacional,Andalucia,Huelva,Viajero,General,2023-06-30,147976,111
Total Nacional,Andalucia,Huelva,Viajero,General,2023-05-31,119501,112
Total Nacional,Andalucia,Huelva,Viajero,General,2023-04-30,101834,113
Total Nacional,Andalucia,Huelva,Viajero,General,2023-03-31,54315,114
Total Nacional,Andalucia,Huelva,Viajero,General,2023-02-28,35657,115
Total Nacional,Andalucia,Huelva,Viajero,General,2023-01-31,32772,116
