Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-06-01,57525
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-05-01,80597
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-04-01,70737
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-03-01,51761
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-02-01,39465
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-01-01,33443
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-09-01,546853
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-08-01,585900
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-07-01,511116
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-06-01,467905
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-05-01,464921
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-04-01,506660
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-03-01,426846
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-02-01,383736
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-01-01,349411
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-09-01,289553
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-08-01,378221
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-07-01,309452
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-06-01,252073
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-05-01,216941
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-04-01,278231
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-03-01,261863
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-02-01,251559
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-01-01,234827
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-09-01,257300
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-08-01,207679
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-07-01,201664
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-06-01,215832
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-05-01,247981
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-04-01,228429
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-03-01,164983
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-02-01,132177
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-01-01,114584
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-09-01,545065
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-08-01,752225
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-07-01,679947
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-06-01,500239
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-05-01,359487
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-04-01,327921
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-03-01,119627
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-02-01,77733
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-01-01,67320
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-09-01,310599
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-08-01,536618
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-07-01,497374
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-06-01,316976
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-05-01,226759
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-04-01,212599
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-03-01,88598
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-02-01,56050
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-01-01,49027
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-09-01,234467
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-08-01,215607
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-07-01,182573
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-06-01,183263
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-05-01,132728
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-04-01,115322
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-03-01,31029
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-02-01,21683
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2023-01-01,18293
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-09-01,90877
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-08-01,101882
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-07-01,83664
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-06-01,78956
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-05-01,88635
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-04-01,111810
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-03-01,82364
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-02-01,63986
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-01-01,49643
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-09-01,77880
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-08-01,91518
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-07-01,74515
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-06-01,69776
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-05-01,74084
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-04-01,100168
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-03-01,73374
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-02-01,57167
Total Nacional,Andalucia,Jaen,Pernoctaciones,Espana,2023-01-01,44207
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-09-01,12997
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-08-01,10364
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-07-01,9149
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-06-01,9180
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-05-01,14551
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-04-01,11642
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-03-01,8990
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-02-01,6819
Total Nacional,Andalucia,Jaen,Pernoctaciones,Extranjero,2023-01-01,5436
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-09-01,2312615
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-08-01,2782987
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-07-01,2580880
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-06-01,2192655
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-05-01,2101341
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-04-01,1911674
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-03-01,1370903
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-02-01,942910
Total Nacional,Andalucia,Malaga,Pernoctaciones,General,2023-01-01,769113
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-09-01,511431
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-08-01,935815
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-07-01,837445
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-06-01,552610
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-05-01,396202
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-04-01,497586
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-03-01,432300
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-02-01,309195
Total Nacional,Andalucia,Malaga,Pernoctaciones,Espana,2023-01-01,233545
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-09-01,1801184
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-08-01,1847172
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-07-01,1743435
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-06-01,1640045
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-05-01,1705139
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-04-01,1414088
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-03-01,938602
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-02-01,633716
Total Nacional,Andalucia,Malaga,Pernoctaciones,Extranjero,2023-01-01,535569
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-09-01,670078
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-08-01,643645
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-07-01,559187
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-06-01,620665
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-05-01,695286
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-04-01,717959
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-03-01,654450
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-02-01,531866
Total Nacional,Andalucia,Sevilla,Pernoctaciones,General,2023-01-01,488618
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-09-01,254554
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-08-01,236062
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-07-01,228202
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-06-01,265736
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-05-01,284072
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-04-01,302281
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-03-01,315512
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-02-01,264329
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Espana,2023-01-01,241109
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-09-01,415524
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-08-01,407583
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-07-01,330986
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-06-01,354930
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-05-01,411214
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-04-01,415677
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-03-01,338938
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-02-01,267537
Total Nacional,Andalucia,Sevilla,Pernoctaciones,Extranjero,2023-01-01,247510
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-09-01,170912
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-08-01,331444
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-07-01,260171
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-06-01,156215
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-05-01,106333
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-04-01,150405
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-03-01,167060
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-02-01,209735
Total Nacional,Aragon,Huesca,Pernoctaciones,General,2023-01-01,161965
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-09-01,134576
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-08-01,281965
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-07-01,209023
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-06-01,118629
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-05-01,76609
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-04-01,128794
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-03-01,151205
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-02-01,186032
Total Nacional,Aragon,Huesca,Pernoctaciones,Espana,2023-01-01,150147
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-09-01,36337
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-08-01,49479
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-07-01,51148
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-06-01,37586
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-05-01,29724
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-04-01,21611
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-03-01,15856
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-02-01,23703
Total Nacional,Aragon,Huesca,Pernoctaciones,Extranjero,2023-01-01,11818
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-09-01,78563
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-08-01,108913
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-07-01,74817
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-06-01,68935
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-05-01,65283
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-04-01,84714
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-03-01,59756
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-02-01,54839
Total Nacional,Aragon,Teruel,Pernoctaciones,General,2023-01-01,41625
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-09-01,66478
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-08-01,94021
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-07-01,64133
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-06-01,58205
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-05-01,51991
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-04-01,74872
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-03-01,51445
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-02-01,49264
Total Nacional,Aragon,Teruel,Pernoctaciones,Espana,2023-01-01,37050
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-09-01,12085
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-08-01,14892
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-07-01,10683
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-06-01,10730
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-05-01,13293
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-04-01,9842
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-03-01,8311
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-02-01,5575
Total Nacional,Aragon,Teruel,Pernoctaciones,Extranjero,2023-01-01,4575
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-09-01,258779
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-08-01,262450
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-07-01,245693
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-06-01,234752
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-05-01,236384
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-04-01,258139
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-03-01,218837
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-02-01,163082
Total Nacional,Aragon,Zaragoza,Pernoctaciones,General,2023-01-01,143874
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-09-01,190631
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-08-01,182172
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-07-01,173752
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-06-01,174600
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-05-01,164278
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-04-01,201685
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-03-01,167826
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-02-01,123622
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Espana,2023-01-01,106992
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-09-01,68148
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-08-01,80277
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-07-01,71941
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-06-01,60152
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-05-01,72106
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-04-01,56453
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-03-01,51011
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-02-01,39460
Total Nacional,Aragon,Zaragoza,Pernoctaciones,Extranjero,2023-01-01,36882
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-09-01,471324
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-08-01,673183
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-07-01,578794
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-06-01,399819
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-05-01,306803
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-04-01,348636
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-03-01,202782
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-02-01,151671
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,General,2023-01-01,130417
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-09-01,362333
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-08-01,566540
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-07-01,482604
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-06-01,302059
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-05-01,222052
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-04-01,295511
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-03-01,168202
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-02-01,129073
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Espana,2023-01-01,110246
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-09-01,108991
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-08-01,106643
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-07-01,96189
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-06-01,97760
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-05-01,84751
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-04-01,53125
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-03-01,34581
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-02-01,22598
Total Nacional,Principado de asturias,Asturias,Pernoctaciones,Extranjero,2023-01-01,20171
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-09-01,9100655
Total Nacional,Islas baleares,Islas baleares,Pernoctaciones,General,2023-08-01,11045064
