Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Galicia,Pontevedra,Pernoctaciones,General,2023-01-01,104172
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-09-01,311047
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-08-01,573250
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-07-01,467562
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-06-01,234661
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-05-01,167101
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-04-01,185640
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-03-01,102942
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-02-01,77214
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Espana,2023-01-01,80399
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-09-01,121608
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-08-01,134217
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-07-01,99894
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-06-01,76892
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-05-01,77674
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-04-01,61597
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-03-01,24081
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-02-01,19692
Total Nacional,Galicia,Pontevedra,Pernoctaciones,Extranjero,2023-01-01,23773
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-09-01,2298250
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-08-01,1999085
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-07-01,2212851
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-06-01,2240215
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-05-01,2230840
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-04-01,2251458
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-03-01,2044755
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-02-01,1708669
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,General,2023-01-01,1715282
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-09-01,985818
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-08-01,835075
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-07-01,958385
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-06-01,1002324
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-05-01,944848
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-04-01,1028075
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-03-01,963723
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-02-01,891978
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Espana,2023-01-01,904052
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-09-01,1312432
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-08-01,1164011
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-07-01,1254466
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-06-01,1237891
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-05-01,1285992
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-04-01,1223382
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-03-01,1081032
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-02-01,816691
Total Nacional,Comunidad de madrid,Madrid,Pernoctaciones,Extranjero,2023-01-01,811230
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-09-01,324600
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-08-01,434778
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-07-01,379858
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-06-01,325992
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-05-01,296997
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-04-01,309371
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-03-01,241671
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-02-01,172134
Total Nacional,Region de murcia,Murcia,Pernoctaciones,General,2023-01-01,130557
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-09-01,215458
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-08-01,315697
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-07-01,287882
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-06-01,237799
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-05-01,202585
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-04-01,246942
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-03-01,187443
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-02-01,133164
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Espana,2023-01-01,95817
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-09-01,109141
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-08-01,119081
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-07-01,91977
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-06-01,88192
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-05-01,94412
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-04-01,62429
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-03-01,54228
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-02-01,38969
Total Nacional,Region de murcia,Murcia,Pernoctaciones,Extranjero,2023-01-01,34740
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-09-01,204119
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-08-01,236071
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-07-01,202969
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-06-01,179319
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-05-01,179847
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-04-01,183243
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-03-01,136032
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-02-01,94649
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,General,2023-01-01,77782
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-09-01,142940
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-08-01,170233
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-07-01,139837
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-06-01,127068
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-05-01,116945
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-04-01,140457
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-03-01,111016
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-02-01,75667
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Espana,2023-01-01,60397
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-09-01,61180
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-08-01,65839
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-07-01,63132
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-06-01,52251
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-05-01,62903
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-04-01,42786
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-03-01,25016
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-02-01,18982
Total Nacional,Comunidad floral de navarra,Navarra,Pernoctaciones,Extranjero,2023-01-01,17385
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-09-01,96704
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-08-01,115031
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-07-01,97832
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-06-01,76208
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-05-01,72336
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-04-01,73134
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-03-01,63022
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-02-01,54208
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,General,2023-01-01,49633
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-09-01,62515
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-08-01,79067
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-07-01,59938
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-06-01,49739
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-05-01,47861
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-04-01,54385
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-03-01,48102
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-02-01,39517
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Espana,2023-01-01,38355
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-09-01,34190
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-08-01,35965
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-07-01,37894
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-06-01,26469
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-05-01,24475
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-04-01,18749
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-03-01,14920
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-02-01,14691
Total Nacional,Pais vasco,Araba/alava,Pernoctaciones,Extranjero,2023-01-01,11278
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-09-01,329523
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-08-01,412172
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-07-01,348584
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-06-01,284636
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-05-01,288423
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-04-01,280634
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-03-01,210533
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-02-01,177367
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,General,2023-01-01,152558
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-09-01,136534
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-08-01,205372
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-07-01,169746
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-06-01,130303
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-05-01,129396
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-04-01,146266
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-03-01,135177
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-02-01,118262
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Espana,2023-01-01,106363
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-09-01,192989
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-08-01,206800
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-07-01,178838
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-06-01,154333
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-05-01,159028
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-04-01,134368
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-03-01,75356
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-02-01,59105
Total Nacional,Pais vasco,Bizkaia,Pernoctaciones,Extranjero,2023-01-01,46195
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-09-01,286737
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-08-01,344706
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-07-01,335809
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-06-01,267224
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-05-01,261233
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-04-01,251735
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-03-01,191582
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-02-01,144754
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,General,2023-01-01,134266
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-09-01,121106
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-08-01,163944
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-07-01,146640
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-06-01,105502
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-05-01,107655
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-04-01,138599
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-03-01,116762
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-02-01,89168
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Espana,2023-01-01,83072
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-09-01,165631
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-08-01,180762
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-07-01,189169
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-06-01,161722
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-05-01,153578
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-04-01,113136
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-03-01,74820
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-02-01,55586
Total Nacional,Pais vasco,Gipuzkoa,Pernoctaciones,Extranjero,2023-01-01,51193
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-09-01,104708
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-08-01,117833
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-07-01,93927
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-06-01,91983
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-05-01,95390
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-04-01,93734
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-03-01,65984
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-02-01,55476
Total Nacional,La rioja,La rioja,Pernoctaciones,General,2023-01-01,41941
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-09-01,70292
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-08-01,95660
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-07-01,73713
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-06-01,68777
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-05-01,64437
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-04-01,75867
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-03-01,58281
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-02-01,50080
Total Nacional,La rioja,La rioja,Pernoctaciones,Espana,2023-01-01,37528
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-09-01,34416
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-08-01,22173
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-07-01,20214
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-06-01,23207
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-05-01,30952
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-04-01,17867
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-03-01,7703
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-02-01,5396
Total Nacional,La rioja,La rioja,Pernoctaciones,Extranjero,2023-01-01,4413
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-12-01,107259
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-11-01,130021
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-10-01,296514
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-09-01,656442
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-08-01,1031221
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-07-01,902001
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-06-01,579428
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-05-01,372006
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-04-01,264538
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-03-01,168255
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-02-01,103607
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2022-01-01,65951
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-12-01,75710
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-11-01,83630
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-10-01,166322
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-09-01,485307
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-08-01,827319
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-07-01,732355
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-06-01,419902
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-05-01,261272
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-04-01,205526
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-03-01,124044
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-02-01,69288
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-01-01,40808
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-12-01,31548
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-11-01,46391
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-10-01,130192
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-09-01,171135
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-08-01,203902
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-07-01,169646
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-06-01,159526
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-05-01,110734
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-04-01,59012
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-03-01,44210
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-02-01,34320
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-01-01,25143
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-12-01,226250
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-11-01,285108
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-10-01,680638
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-09-01,975105
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-08-01,1343284
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-07-01,1210633
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-06-01,934433
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-05-01,738157
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-04-01,621947
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-03-01,303644
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-02-01,232827
Total Nacional,Andalucia,Cadiz,Pernoctaciones,General,2022-01-01,141728
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-12-01,161185
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-11-01,178817
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-10-01,325433
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-09-01,581782
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-08-01,1029956
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-07-01,882869
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-06-01,576595
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-05-01,426243
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-04-01,374612
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-03-01,165496
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-02-01,149028
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Espana,2022-01-01,89031
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-12-01,65065
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-11-01,106291
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-10-01,355206
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-09-01,393323
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-08-01,313328
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-07-01,327764
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-06-01,357838
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-05-01,311915
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-04-01,247336
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-03-01,138148
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-02-01,83798
Total Nacional,Andalucia,Cadiz,Pernoctaciones,Extranjero,2022-01-01,52697
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-12-01,134597
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-11-01,146557
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-10-01,183303
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-09-01,161512
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-08-01,158275
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-07-01,127223
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-06-01,143488
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-05-01,191184
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-04-01,182383
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-03-01,138496
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-02-01,123322
Total Nacional,Andalucia,Cordoba,Pernoctaciones,General,2022-01-01,94243
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-12-01,96860
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-11-01,102956
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-10-01,109845
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-09-01,92553
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-08-01,104822
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-07-01,85238
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-06-01,90359
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-05-01,118656
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-04-01,118883
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-03-01,92613
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-02-01,92965
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Espana,2022-01-01,69806
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-12-01,37737
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-11-01,43602
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-10-01,73457
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-09-01,68959
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-08-01,53453
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-07-01,41985
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-06-01,53128
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-05-01,72528
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-04-01,63500
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-03-01,45883
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-02-01,30356
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2022-01-01,24437
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-12-01,362561
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-11-01,322084
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-10-01,499646
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-09-01,517671
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-08-01,604327
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-07-01,497562
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2022-06-01,458832
