Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,-,Pernoctaciones,General,2023-04-01,4788837
Total Nacional,Andalucia,-,Pernoctaciones,General,2023-03-01,3359313
Total Nacional,Andalucia,-,Pernoctaciones,General,2023-02-01,2558320
Total Nacional,Andalucia,-,Pernoctaciones,General,2023-01-01,2129016
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-09-01,2588824
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-08-01,4134216
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-07-01,3657286
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-06-01,2605778
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-05-01,1987664
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-04-01,2145264
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-03-01,1591594
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-02-01,1304787
Total Nacional,Andalucia,-,Pernoctaciones,Espana,2023-01-01,1068246
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-09-01,3414106
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-08-01,3275902
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-07-01,3027157
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-06-01,2978196
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-05-01,3083147
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-04-01,2643572
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-03-01,1767718
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-02-01,1253533
Total Nacional,Andalucia,-,Pernoctaciones,Extranjero,2023-01-01,1060770
Total Nacional,Aragon,-,Viajero,General,2023-09-01,269453
Total Nacional,Aragon,-,Viajero,General,2023-08-01,343606
Total Nacional,Aragon,-,Viajero,General,2023-07-01,286801
Total Nacional,Aragon,-,Viajero,General,2023-06-01,237781
Total Nacional,Aragon,-,Viajero,General,2023-05-01,214817
Total Nacional,Aragon,-,Viajero,General,2023-04-01,251264
Total Nacional,Aragon,-,Viajero,General,2023-03-01,217002
Total Nacional,Aragon,-,Viajero,General,2023-02-01,195743
Total Nacional,Aragon,-,Viajero,General,2023-01-01,167204
Total Nacional,Aragon,-,Viajero,Espana,2023-09-01,202669
Total Nacional,Aragon,-,Viajero,Espana,2023-08-01,261497
Total Nacional,Aragon,-,Viajero,Espana,2023-07-01,214812
Total Nacional,Aragon,-,Viajero,Espana,2023-06-01,181632
Total Nacional,Aragon,-,Viajero,Espana,2023-05-01,154276
