id_viajeros_combined,Provincias,2018M01_Residentes en Espana,2018M01_Residentes en el Extranjero,2018M02_Residentes en Espana,2018M02_Residentes en el Extranjero,2018M03_Residentes en Espana,2018M03_Residentes en el Extranjero,2018M04_Residentes en Espana,2018M04_Residentes en el Extranjero,2018M05_Residentes en Espana,2018M05_Residentes en el Extranjero,2018M06_Residentes en Espana,2018M06_Residentes en el Extranjero,2018M07_Residentes en Espana,2018M07_Residentes en el Extranjero,2018M08_Residentes en Espana,2018M08_Residentes en el Extranjero,2018M09_Residentes en Espana,2018M09_Residentes en el Extranjero,2018M10_Residentes en Espana,2018M10_Residentes en el Extranjero,2018M11_Residentes en Espana,2018M11_Residentes en el Extranjero,2018M12_Residentes en Espana,2018M12_Residentes en el Extranjero,2019M01_Residentes en Espana,2019M01_Residentes en el Extranjero,2019M02_Residentes en Espana,2019M02_Residentes en el Extranjero,2019M03_Residentes en Espana,2019M03_Residentes en el Extranjero,2019M04_Residentes en Espana,2019M04_Residentes en el Extranjero,2019M05_Residentes en Espana,2019M05_Residentes en el Extranjero,2019M06_Residentes en Espana,2019M06_Residentes en el Extranjero,2019M07_Residentes en Espana,2019M07_Residentes en el Extranjero,2019M08_Residentes en Espana,2019M08_Residentes en el Extranjero,2019M09_Residentes en Espana,2019M09_Residentes en el Extranjero,2019M10_Residentes en Espana,2019M10_Residentes en el Extranjero,2019M11_Residentes en Espana,2019M11_Residentes en el Extranjero,2019M12_Residentes en Espana,2019M12_Residentes en el Extranjero,2020M01_Residentes en Espana,2020M01_Residentes en el Extranjero,2020M02_Residentes en Espana,2020M02_Residentes en el Extranjero,2020M03_Residentes en Espana,2020M03_Residentes en el Extranjero,2020M04_Residentes en Espana,2020M04_Residentes en el Extranjero,2020M05_Residentes en Espana,2020M05_Residentes en el Extranjero,2020M06_Residentes en Espana,2020M06_Residentes en el Extranjero,2020M07_Residentes en Espana,2020M07_Residentes en el Extranjero,2020M08_Residentes en Espana,2020M08_Residentes en el Extranjero,2020M09_Residentes en Espana,2020M09_Residentes en el Extranjero,2020M10_Residentes en Espana,2020M10_Residentes en el Extranjero,2020M11_Residentes en Espana,2020M11_Residentes en el Extranjero,2020M12_Residentes en Espana,2020M12_Residentes en el Extranjero,2021M01_Residentes en Espana,2021M01_Residentes en el Extranjero,2021M02_Residentes en Espana,2021M02_Residentes en el Extranjero,2021M03_Residentes en Espana,2021M03_Residentes en el Extranjero,2021M04_Residentes en Espana,2021M04_Residentes en el Extranjero,2021M05_Residentes en Espana,2021M05_Residentes en el Extranjero,2021M06_Residentes en Espana,2021M06_Residentes en el Extranjero,2021M07_Residentes en Espana,2021M07_Residentes en el Extranjero,2021M08_Residentes en Espana,2021M08_Residentes en el Extranjero,2021M09_Residentes en Espana,2021M09_Residentes en el Extranjero,2021M10_Residentes en Espana,2021M10_Residentes en el Extranjero,2021M11_Residentes en Espana,2021M11_Residentes en el Extranjero,2021M12_Residentes en Espana,2021M12_Residentes en el Extranjero,2022M01_Residentes en Espana,2022M01_Residentes en el Extranjero,2022M02_Residentes en Espana,2022M02_Residentes en el Extranjero,2022M03_Residentes en Espana,2022M03_Residentes en el Extranjero,2022M04_Residentes en Espana,2022M04_Residentes en el Extranjero,2022M05_Residentes en Espana,2022M05_Residentes en el Extranjero,2022M06_Residentes en Espana,2022M06_Residentes en el Extranjero,2022M07_Residentes en Espana,2022M07_Residentes en el Extranjero,2022M08_Residentes en Espana,2022M08_Residentes en el Extranjero,2022M09_Residentes en Espana,2022M09_Residentes en el Extranjero,2022M10_Residentes en Espana,2022M10_Residentes en el Extranjero,2022M11_Residentes en Espana,2022M11_Residentes en el Extranjero,2022M12_Residentes en Espana,2022M12_Residentes en el Extranjero
34,MURCIA,51.753,17.721,68.105,18.286,90.263,22.843,88.448,24.509,87.097,28.661,97.960,27.971,95.837,29.292,103.924,34.472,92.830,32.093,92.728,26.553,78.702,19.062,71.122,15.400,57.170,17.735,72.584,17.844,85.874,20.897,89.782,27.006,99.257,29.592,108.029,30.501,103.567,31.918,111.832,36.446,88.808,32.313,89.015,25.955,74.430,18.711,72.428,15.248,54.035,17.780,77.128,18.909,32.874,9.508,0,0,4.446,431,24.725,2.777,62.004,9.094,72.448,9.825,47.992,6.283,39.306,6.603,20.312,2.193,26.494,2.825,19.148,2.623,24.846,2.729,37.164,3.840,40.665,4.272,53.128,7.499,78.987,12.673,101.987,16.397,112.310,23.796,82.343,22.357,78.444,25.637,62.769,16.356,54.952,12.402,40.387,10.326,60.251,15.326,65.218,17.646,96.291,25.754,87.949,28.140,98.921,28.600,118.870,35.545,124.452,41.286,95.122,35.660,88.542,25.753,67.905,18.573,69.122,12.241
35,NAVARRA,34.462,8.224,41.540,7.645,63.227,11.870,63.703,24.706,64.812,38.908,66.496,28.457,69.611,37.736,91.651,41.087,72.222,40.183,73.371,24.178,63.202,11.314,46.998,9.233,36.577,8.006,43.884,7.867,58.716,11.660,69.750,22.923,70.813,33.698,70.294,31.388,72.289,39.137,95.814,43.776,75.922,40.473,77.545,23.442,64.772,10.180,50.657,9.807,39.004,7.522,49.054,9.535,24.062,4.585,0,0,2.261,228,17.022,1.896,44.643,12.092,57.309,11.853,40.200,6.794,28.548,5.700,15.825,1.824,18.495,2.320,19.374,2.138,23.930,2.285,27.341,2.837,29.023,3.202,39.412,5.925,47.726,7.856,65.830,16.395,95.560,24.286,68.208,25.557,76.267,18.405,50.216,10.885,40.190,6.581,29.734,6.802,43.592,8.379,51.681,11.633,67.900,23.867,61.664,32.934,66.879,29.313,69.289,34.930,85.584,45.586,70.809,37.234,76.216,23.198,54.646,12.227,46.776,10.187
36,OURENSE,16.645,1.862,19.677,2.528,27.344,2.067,23.238,3.239,23.998,4.070,25.353,3.554,25.989,5.506,35.014,5.920,28.992,5.748,27.644,4.353,24.376,2.029,19.594,3.097,15.911,1.812,18.899,1.760,25.776,2.424,28.410,3.178,24.912,4.309,25.377,4.715,31.322,3.977,39.201,5.835,30.828,5.141,28.890,3.884,25.953,2.471,22.353,2.567,17.556,2.061,23.480,2.871,13.581,1.791,0,0,876,16,8.032,266,18.086,1.269,29.238,2.120,19.120,1.517,11.576,894,7.451,428,8.972,506,6.801,465,6.118,558,12.148,640,14.687,1.054,17.149,1.158,19.174,2.243,29.725,2.183,39.765,3.603,28.985,2.998,27.606,3.191,21.166,1.749,19.722,1.290,13.326,959,19.981,1.733,20.122,1.427,26.880,2.827,25.904,3.530,27.538,4.128,28.671,4.180,40.206,5.437,29.880,4.515,28.596,3.452,22.520,2.254,20.757,1.914
37,PALENCIA,6.347,1.654,6.982,983,10.569,1.654,11.900,4.851,12.948,6.849,14.461,6.014,15.888,5.810,18.415,7.426,15.570,6.418,15.498,4.639,11.270,1.894,10.231,1.505,7.567,1.579,7.749,1.062,11.487,1.997,12.886,5.141,13.665,6.124,14.832,5.568,14.077,5.882,19.398,8.296,14.827,5.968,13.608,3.956,10.300,2.178,9.206,1.728,7.879,1.557,10.054,1.509,5.255,787,0,0,.,.,.,.,9.749,1.814,12.890,2.141,9.859,1.026,7.238,972,3.364,548,2.523,594,2.029,497,2.631,353,3.905,316,4.363,375,6.758,1.233,10.330,1.122,14.097,2.743,20.077,2.825,14.075,4.113,14.786,3.380,9.758,1.576,7.585,657,6.721,894,9.543,1.076,9.809,1.470,14.038,3.106,12.855,6.288,14.017,5.648,16.797,6.024,20.973,8.413,16.072,6.908,14.004,4.875,12.180,1.263,8.112,1.293
38,PONTEVEDRA,45.209,8.382,44.496,10.320,65.243,14.032,69.686,23.768,74.112,34.219,100.052,38.171,145.893,43.170,189.670,49.896,120.389,53.661,90.289,30.712,62.831,11.172,61.200,14.362,43.020,8.304,45.825,8.741,58.539,14.926,82.136,32.861,80.340,45.388,104.025,53.235,158.326,45.784,187.200,55.712,121.528,64.635,93.548,35.180,64.208,13.144,79.829,11.671,47.932,8.603,48.680,10.811,20.008,5.364,0,0,1.236,210,18.340,924,100.636,10.868,139.227,15.417,70.658,8.236,43.180,5.624,14.584,1.489,13.637,1.424,10.899,1.743,11.886,1.418,25.730,1.845,26.433,2.289,44.741,5.479,76.867,16.961,151.982,19.722,194.589,30.259,117.065,30.996,94.488,26.384,60.501,8.870,68.570,7.194,30.782,5.105,41.780,8.476,46.776,11.223,79.816,29.273,79.215,44.016,105.027,44.002,173.123,45.052,201.361,54.275,123.636,58.969,95.810,36.607,64.716,11.522,79.742,24.449
39,SALAMANCA,33.683,13.075,41.395,14.693,59.035,18.514,59.227,26.312,56.875,32.960,57.018,29.482,66.789,35.973,87.219,40.344,71.905,34.515,64.038,29.880,53.732,18.651,50.265,15.021,34.111,13.699,42.450,13.851,59.196,20.277,65.813,29.586,62.485,35.900,63.995,30.679,67.459,33.660,94.824,41.479,67.542,34.303,65.345,31.494,54.505,19.663,51.971,18.059,38.936,16.679,48.939,17.608,18.453,6.731,0,0,361,29,5.770,843,34.877,8.096,53.397,9.076,28.092,6.408,18.369,4.175,7.838,1.075,7.829,1.202,6.753,1.114,8.729,824,14.084,1.332,14.908,1.282,28.438,4.231,39.554,7.592,61.599,13.584,86.629,19.962,66.541,15.894,66.314,20.395,47.090,11.236,43.750,9.107,28.555,8.358,42.586,9.207,42.690,12.551,63.825,20.818,52.592,24.569,56.820,23.976,66.198,34.909,83.128,39.268,66.176,28.791,64.436,27.964,43.816,15.859,48.700,16.688
40,SEGOVIA,19.248,4.261,21.569,3.956,27.899,4.461,27.761,7.260,29.105,10.199,34.004,9.475,38.820,9.634,48.071,9.818,36.634,10.251,34.212,11.073,29.245,5.330,27.255,3.655,21.106,4.367,24.627,3.981,31.091,5.426,32.202,9.074,31.075,13.099,36.564,12.467,39.654,10.657,50.928,9.458,37.964,12.735,34.864,11.217,28.167,5.531,29.871,4.681,20.946,5.215,28.433,3.785,9.592,1.753,0,0,.,.,.,.,22.958,2.266,30.052,2.803,16.765,1.502,11.394,1.164,2.183,348,2.783,308,1.799,181,2.374,353,5.491,473,5.316,419,13.721,1.368,22.788,2.189,40.941,4.647,56.120,6.047,31.690,6.762,37.595,5.820,23.758,3.992,21.647,2.751,16.875,2.331,23.119,2.604,24.782,3.388,32.177,6.680,27.653,7.892,35.036,7.821,41.710,10.371,47.996,8.205,34.357,10.228,33.298,7.653,26.786,4.090,24.301,3.197
41,SEVILLA,110.493,111.525,126.248,119.538,136.839,140.326,140.144,180.120,139.364,192.498,136.459,183.022,113.274,164.041,115.225,184.707,118.627,194.511,143.828,196.196,147.208,139.011,129.038,123.590,114.308,116.517,136.007,123.429,155.556,159.762,138.957,190.989,151.571,202.251,133.446,180.603,118.676,162.935,126.336,192.100,134.919,205.586,142.151,220.761,142.107,148.955,143.278,125.338,123.932,127.669,140.299,120.401,64.032,54.140,0,0,3.175,269,25.320,2.680,64.407,18.440,68.940,24.072,76.559,15.728,73.603,17.132,39.888,5.185,48.476,7.583,42.298,5.175,46.715,3.666,60.181,5.788,65.594,10.092,93.758,24.057,113.507,41.587,122.330,55.186,130.389,74.687,133.622,81.845,152.279,107.062,144.322,86.826,133.089,67.503,112.980,57.187,140.464,75.734,151.606,107.515,166.182,132.923,160.761,162.280,175.085,138.129,138.999,123.990,147.417,161.425,164.561,160.402,163.745,166.288,159.021,112.726,142.195,100.802
42,SORIA,9.827,656,11.924,738,16.416,1.008,19.021,1.381,18.366,1.570,19.245,2.319,26.126,2.066,30.181,2.350,20.077,2.487,20.784,1.488,16.880,1.062,13.326,751,8.825,560,11.912,698,17.623,842,18.943,1.598,19.044,1.858,20.005,1.880,21.197,1.815,28.629,1.665,19.664,2.314,20.373,1.801,16.214,887,14.046,809,9.660,749,15.473,858,5.579,175,0,0,212,2,2.417,171,13.710,703,19.635,873,12.539,657,13.676,953,1.871,149,2.489,190,2.151,222,2.517,210,4.672,253,6.224,153,9.587,518,16.086,785,20.352,1.143,27.213,1.407,19.798,1.716,19.913,1.637,12.899,1.611,9.765,951,7.752,701,12.945,656,12.688,726,18.243,1.239,17.555,1.979,17.976,1.766,20.550,2.614,27.046,1.999,19.860,1.899,20.812,1.834,14.828,1.007,11.932,601
43,STA. CRUZ DE TENERIFE,50.903,242.063,54.544,246.496,75.746,277.176,71.742,245.271,84.780,219.770,98.003,217.667,112.404,242.147,131.713,238.779,97.848,230.907,85.037,274.695,60.630,257.873,69.736,258.705,56.933,259.236,60.892,254.837,76.524,281.977,94.482,249.957,96.138,232.547,114.963,225.949,128.382,243.367,152.701,240.470,110.743,229.217,95.268,270.551,77.832,261.921,79.092,255.914,63.020,258.293,69.094,268.200,24.298,110.788,0,0,354,60,4.923,511,37.640,29.921,92.950,43.294,74.263,25.474,54.168,26.099,28.229,32.811,29.350,39.801,19.366,18.085,29.344,19.558,38.329,25.536,38.697,32.306,56.402,37.490,75.420,46.418,121.343,87.580,151.804,135.843,106.741,153.639,99.379,231.814,70.673,227.561,77.897,199.285,48.694,184.433,64.206,236.632,71.225,262.334,97.456,260.334,107.534,224.717,116.503,228.907,139.005,249.417,144.470,253.837,116.456,231.534,98.347,279.713,79.779,268.582,83.526,296.760
