,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,año,mes,fecha_str,fecha
665,CIUDAD REAL,12.07,3.13,6.72,6.14,18.0,2019,abril,2019-abril,2019-04-01
666,CORDOBA,13.31,2.15,10.51,7.48,19.14,2019,abril,2019-abril,2019-04-01
667,CUENCA,10.69,3.9,6.11,4.84,16.52,2019,abril,2019-abril,2019-04-01
668,GIPUZKOA,12.38,3.68,5.22,7.93,16.84,2019,abril,2019-abril,2019-04-01
669,GIRONA,10.06,2.98,6.14,4.43,15.7,2019,abril,2019-abril,2019-04-01
670,GRANADA,12.77,2.76,7.32,6.32,19.22,2019,abril,2019-abril,2019-04-01
671,GUADALAJARA,9.39,3.88,6.07,3.4,15.4,2019,abril,2019-abril,2019-04-01
672,HUELVA,15.36,2.41,9.18,10.15,20.56,2019,abril,2019-abril,2019-04-01
673,HUESCA,9.61,3.72,6.06,3.72,15.49,2019,abril,2019-abril,2019-04-01
674,ILLES BALEARS,13.75,1.14,7.41,9.44,18.05,2019,abril,2019-abril,2019-04-01
675,JAEN,13.16,3.8,6.09,7.75,18.56,2019,abril,2019-abril,2019-04-01
676,LA RIOJA,12.56,1.92,6.9,6.64,18.48,2019,abril,2019-abril,2019-04-01
677,LAS PALMAS,19.86,0.37,8.76,16.52,23.19,2019,abril,2019-abril,2019-04-01
678,LEON,8.27,2.28,7.19,2.48,14.06,2019,abril,2019-abril,2019-04-01
679,LLEIDA,11.09,2.0,7.02,4.71,17.46,2019,abril,2019-abril,2019-04-01
680,LUGO,10.52,5.56,6.19,4.75,16.3,2019,abril,2019-abril,2019-04-01
681,MADRID,10.15,3.3,6.51,4.82,15.46,2019,abril,2019-abril,2019-04-01
682,MALAGA,16.42,1.26,8.11,11.91,20.92,2019,abril,2019-abril,2019-04-01
683,MURCIA,15.24,3.33,7.76,9.87,20.6,2019,abril,2019-abril,2019-04-01
684,NAVARRA,11.73,2.39,5.71,6.25,17.21,2019,abril,2019-abril,2019-04-01
685,OURENSE,10.61,5.09,5.7,4.35,16.86,2019,abril,2019-abril,2019-04-01
686,PALENCIA,8.77,1.86,6.42,2.38,15.16,2019,abril,2019-abril,2019-04-01
687,PONTEVEDRA,12.32,8.36,6.45,7.87,16.84,2019,abril,2019-abril,2019-04-01
688,SALAMANCA,9.04,2.47,7.13,3.24,14.84,2019,abril,2019-abril,2019-04-01
689,SEGOVIA,6.4,1.43,5.02,2.12,10.69,2019,abril,2019-abril,2019-04-01
690,SEVILLA,14.48,2.79,8.47,8.07,20.88,2019,abril,2019-abril,2019-04-01
691,SORIA,8.75,3.79,6.13,3.53,13.97,2019,abril,2019-abril,2019-04-01
692,STA. CRUZ DE TENERIFE,17.54,0.69,8.38,14.24,20.84,2019,abril,2019-abril,2019-04-01
693,TARRAGONA,15.19,0.51,6.91,10.45,19.92,2019,abril,2019-abril,2019-04-01
694,TERUEL,11.41,2.05,6.02,5.48,17.33,2019,abril,2019-abril,2019-04-01
695,TOLEDO,12.04,2.85,7.51,6.18,17.91,2019,abril,2019-abril,2019-04-01
696,VALENCIA,14.95,4.08,6.87,9.98,19.93,2019,abril,2019-abril,2019-04-01
697,VALLADOLID,9.83,1.74,7.42,3.94,15.73,2019,abril,2019-abril,2019-04-01
698,ZAMORA,10.42,2.04,7.43,4.07,16.7,2019,abril,2019-abril,2019-04-01
699,ZARAGOZA,12.12,1.95,6.8,6.6,17.62,2019,abril,2019-abril,2019-04-01
700,A CORUÑA,14.99,1.38,8.84,10.63,19.34,2019,mayo,2019-mayo,2019-05-01
701,ALBACETE,17.14,0.24,10.62,10.01,24.26,2019,mayo,2019-mayo,2019-05-01
702,ALICANTE,18.21,0.24,10.67,12.52,23.89,2019,mayo,2019-mayo,2019-05-01
703,ALMERIA,19.59,0.05,11.08,14.91,24.27,2019,mayo,2019-mayo,2019-05-01
704,ARABA/ALAVA,11.85,1.65,7.03,4.98,18.71,2019,mayo,2019-mayo,2019-05-01
705,ASTURIAS,12.81,2.09,7.85,8.65,16.97,2019,mayo,2019-mayo,2019-05-01
706,AVILA,15.83,0.06,11.16,8.29,23.3,2019,mayo,2019-mayo,2019-05-01
707,BADAJOZ,20.89,0.18,11.58,12.88,28.89,2019,mayo,2019-mayo,2019-05-01
708,BARCELONA,15.85,2.37,8.84,11.17,20.54,2019,mayo,2019-mayo,2019-05-01
709,BIZKAIA,13.54,2.63,6.14,9.79,17.29,2019,mayo,2019-mayo,2019-05-01
710,BURGOS,11.88,0.72,8.66,4.23,19.55,2019,mayo,2019-mayo,2019-05-01
711,CACERES,20.12,0.15,11.37,12.39,27.86,2019,mayo,2019-mayo,2019-05-01
712,CADIZ,20.01,0.0,11.77,15.1,24.92,2019,mayo,2019-mayo,2019-05-01
713,CANTABRIA,13.01,1.6,7.61,8.56,17.46,2019,mayo,2019-mayo,2019-05-01
714,CASTELLON,15.15,0.57,9.77,9.33,20.96,2019,mayo,2019-mayo,2019-05-01
715,CIUDAD REAL,18.96,0.25,9.89,11.2,26.71,2019,mayo,2019-mayo,2019-05-01
716,CORDOBA,20.54,0.03,12.56,12.94,28.14,2019,mayo,2019-mayo,2019-05-01
717,CUENCA,16.38,0.72,9.49,8.25,24.52,2019,mayo,2019-mayo,2019-05-01
718,GIPUZKOA,13.46,5.33,6.77,9.27,17.65,2019,mayo,2019-mayo,2019-05-01
719,GIRONA,12.74,2.45,8.66,6.12,19.36,2019,mayo,2019-mayo,2019-05-01
720,GRANADA,19.37,0.03,11.88,10.88,27.87,2019,mayo,2019-mayo,2019-05-01
721,GUADALAJARA,13.94,0.42,9.17,5.78,22.12,2019,mayo,2019-mayo,2019-05-01
722,HUELVA,20.51,0.04,12.5,14.35,26.67,2019,mayo,2019-mayo,2019-05-01
723,HUESCA,12.9,2.54,9.17,5.52,20.27,2019,mayo,2019-mayo,2019-05-01
724,ILLES BALEARS,16.58,0.77,9.81,11.56,21.61,2019,mayo,2019-mayo,2019-05-01
725,JAEN,20.72,0.05,10.3,13.38,28.06,2019,mayo,2019-mayo,2019-05-01
726,LA RIOJA,15.35,1.12,8.32,8.95,21.76,2019,mayo,2019-mayo,2019-05-01
727,LAS PALMAS,21.11,0.01,9.71,17.85,24.38,2019,mayo,2019-mayo,2019-05-01
728,LEON,12.39,0.7,9.99,4.74,20.05,2019,mayo,2019-mayo,2019-05-01
729,LLEIDA,14.05,1.99,10.46,6.67,21.43,2019,mayo,2019-mayo,2019-05-01
730,LUGO,13.4,1.38,8.38,6.49,20.32,2019,mayo,2019-mayo,2019-05-01
731,MADRID,15.9,0.19,11.06,8.65,23.14,2019,mayo,2019-mayo,2019-05-01
732,MALAGA,20.65,0.0,7.43,15.94,25.36,2019,mayo,2019-mayo,2019-05-01
733,MURCIA,19.41,0.17,10.62,13.35,25.47,2019,mayo,2019-mayo,2019-05-01
734,NAVARRA,13.78,3.53,7.13,7.88,19.68,2019,mayo,2019-mayo,2019-05-01
735,OURENSE,14.77,0.61,9.42,6.63,22.91,2019,mayo,2019-mayo,2019-05-01
736,PALENCIA,12.41,0.57,9.18,4.17,20.64,2019,mayo,2019-mayo,2019-05-01
737,PONTEVEDRA,16.5,0.92,10.22,10.89,22.11,2019,mayo,2019-mayo,2019-05-01
738,SALAMANCA,14.4,0.28,11.6,6.74,22.07,2019,mayo,2019-mayo,2019-05-01
739,SEGOVIA,11.83,0.43,9.57,5.59,18.07,2019,mayo,2019-mayo,2019-05-01
740,SEVILLA,20.96,0.0,12.0,12.74,29.17,2019,mayo,2019-mayo,2019-05-01
741,SORIA,12.86,0.93,9.55,5.74,20.0,2019,mayo,2019-mayo,2019-05-01
742,STA. CRUZ DE TENERIFE,19.83,0.0,9.78,16.5,23.14,2019,mayo,2019-mayo,2019-05-01
743,TARRAGONA,18.07,1.26,9.39,12.94,23.19,2019,mayo,2019-mayo,2019-05-01
744,TERUEL,14.92,0.8,9.56,7.23,22.59,2019,mayo,2019-mayo,2019-05-01
745,TOLEDO,18.84,0.06,11.57,11.04,26.64,2019,mayo,2019-mayo,2019-05-01
746,VALENCIA,18.48,0.61,9.87,12.84,24.13,2019,mayo,2019-mayo,2019-05-01
747,VALLADOLID,14.32,0.17,10.78,6.23,22.39,2019,mayo,2019-mayo,2019-05-01
748,ZAMORA,15.24,0.22,11.31,6.62,23.86,2019,mayo,2019-mayo,2019-05-01
749,ZARAGOZA,15.64,1.56,10.25,8.67,22.62,2019,mayo,2019-mayo,2019-05-01
750,A CORUÑA,15.7,2.46,6.95,11.91,19.5,2019,junio,2019-junio,2019-06-01
751,ALBACETE,22.07,0.27,12.24,13.85,30.29,2019,junio,2019-junio,2019-06-01
752,ALICANTE,22.27,0.04,12.04,16.09,28.45,2019,junio,2019-junio,2019-06-01
753,ALMERIA,21.95,0.04,12.1,17.1,26.8,2019,junio,2019-junio,2019-06-01
754,ARABA/ALAVA,18.11,0.44,9.0,9.59,26.62,2019,junio,2019-junio,2019-06-01
755,ASTURIAS,15.27,2.63,5.1,11.8,18.74,2019,junio,2019-junio,2019-06-01
756,AVILA,18.68,0.07,11.47,11.32,26.04,2019,junio,2019-junio,2019-06-01
757,BADAJOZ,22.49,0.01,12.43,14.28,30.69,2019,junio,2019-junio,2019-06-01
758,BARCELONA,21.57,0.86,10.91,16.22,26.93,2019,junio,2019-junio,2019-06-01
759,BIZKAIA,17.73,1.26,6.01,13.09,22.37,2019,junio,2019-junio,2019-06-01
760,BURGOS,17.97,0.82,9.44,9.26,26.67,2019,junio,2019-junio,2019-06-01
761,CACERES,22.19,0.03,11.53,14.35,30.01,2019,junio,2019-junio,2019-06-01
762,CADIZ,20.8,0.02,12.31,16.15,25.44,2019,junio,2019-junio,2019-06-01
763,CANTABRIA,16.69,1.74,6.86,12.08,21.3,2019,junio,2019-junio,2019-06-01
764,CASTELLON,20.15,0.14,11.03,14.19,26.11,2019,junio,2019-junio,2019-06-01
765,CIUDAD REAL,23.25,0.0,10.89,15.04,31.46,2019,junio,2019-junio,2019-06-01
766,CORDOBA,22.72,0.0,13.33,14.85,30.58,2019,junio,2019-junio,2019-06-01
767,CUENCA,21.68,0.03,9.47,13.02,30.33,2019,junio,2019-junio,2019-06-01
768,GIPUZKOA,18.31,2.53,7.22,13.32,23.3,2019,junio,2019-junio,2019-06-01
769,GIRONA,19.09,1.2,10.81,11.36,26.81,2019,junio,2019-junio,2019-06-01
770,GRANADA,22.72,0.08,12.6,13.62,31.82,2019,junio,2019-junio,2019-06-01
771,GUADALAJARA,19.48,0.23,10.15,10.63,28.34,2019,junio,2019-junio,2019-06-01
772,HUELVA,20.96,0.0,12.83,15.15,26.78,2019,junio,2019-junio,2019-06-01
773,HUESCA,19.68,1.68,9.47,11.93,27.43,2019,junio,2019-junio,2019-06-01
774,ILLES BALEARS,22.15,0.02,11.31,16.88,27.41,2019,junio,2019-junio,2019-06-01
775,JAEN,24.0,0.0,11.47,16.17,31.83,2019,junio,2019-junio,2019-06-01
776,LA RIOJA,21.67,0.99,10.63,13.5,29.86,2019,junio,2019-junio,2019-06-01
777,LAS PALMAS,22.35,0.02,8.82,19.27,25.44,2019,junio,2019-junio,2019-06-01
778,LEON,15.12,1.92,8.53,8.59,21.64,2019,junio,2019-junio,2019-06-01
779,LLEIDA,20.53,0.91,11.44,12.25,28.81,2019,junio,2019-junio,2019-06-01
780,LUGO,15.51,2.4,5.63,9.95,21.08,2019,junio,2019-junio,2019-06-01
781,MADRID,20.35,0.12,11.98,13.13,27.57,2019,junio,2019-junio,2019-06-01
782,MALAGA,22.68,0.0,6.54,17.62,27.74,2019,junio,2019-junio,2019-06-01
783,MURCIA,23.04,0.05,11.99,16.5,29.58,2019,junio,2019-junio,2019-06-01
784,NAVARRA,20.08,1.4,9.04,12.38,27.78,2019,junio,2019-junio,2019-06-01
785,OURENSE,15.77,1.59,6.41,9.01,22.53,2019,junio,2019-junio,2019-06-01
786,PALENCIA,17.07,0.84,7.64,8.82,25.33,2019,junio,2019-junio,2019-06-01
787,PONTEVEDRA,16.04,2.0,7.44,11.61,20.46,2019,junio,2019-junio,2019-06-01
788,SALAMANCA,16.91,0.56,9.96,9.47,24.35,2019,junio,2019-junio,2019-06-01
789,SEGOVIA,17.2,0.45,10.76,10.79,23.61,2019,junio,2019-junio,2019-06-01
790,SEVILLA,22.39,0.0,12.86,14.25,30.53,2019,junio,2019-junio,2019-06-01
791,SORIA,18.72,0.77,9.88,10.5,26.93,2019,junio,2019-junio,2019-06-01
792,STA. CRUZ DE TENERIFE,21.14,0.12,8.54,17.76,24.52,2019,junio,2019-junio,2019-06-01
793,TARRAGONA,22.1,0.08,10.88,17.06,27.14,2019,junio,2019-junio,2019-06-01
794,TERUEL,21.54,0.17,10.83,12.47,30.61,2019,junio,2019-junio,2019-06-01
795,TOLEDO,22.55,0.0,12.89,14.65,30.46,2019,junio,2019-junio,2019-06-01
796,VALENCIA,22.17,0.02,11.24,16.03,28.3,2019,junio,2019-junio,2019-06-01
797,VALLADOLID,19.06,0.39,10.9,10.86,27.25,2019,junio,2019-junio,2019-06-01
798,ZAMORA,18.09,1.09,10.02,10.34,25.84,2019,junio,2019-junio,2019-06-01
799,ZARAGOZA,22.43,0.51,11.33,14.44,30.41,2019,junio,2019-junio,2019-06-01
800,A CORUÑA,19.2,0.53,8.69,15.19,23.22,2019,julio,2019-julio,2019-07-01
801,ALBACETE,25.98,0.52,11.87,18.19,33.76,2019,julio,2019-julio,2019-07-01
802,ALICANTE,26.48,0.04,11.57,20.73,32.23,2019,julio,2019-julio,2019-07-01
803,ALMERIA,25.87,0.0,11.56,21.04,30.72,2019,julio,2019-julio,2019-07-01
804,ARABA/ALAVA,20.5,1.68,8.16,13.1,27.9,2019,julio,2019-julio,2019-07-01
805,ASTURIAS,18.58,1.4,7.13,14.95,22.21,2019,julio,2019-julio,2019-07-01
806,AVILA,22.91,0.26,12.03,15.28,30.55,2019,julio,2019-julio,2019-07-01
807,BADAJOZ,26.02,0.01,11.88,17.63,34.41,2019,julio,2019-julio,2019-07-01
808,BARCELONA,25.28,2.51,10.68,20.36,30.19,2019,julio,2019-julio,2019-07-01
809,BIZKAIA,20.65,1.75,6.53,16.62,24.68,2019,julio,2019-julio,2019-07-01
810,BURGOS,20.96,1.88,9.27,12.65,29.26,2019,julio,2019-julio,2019-07-01
811,CACERES,26.61,0.13,11.75,18.69,34.53,2019,julio,2019-julio,2019-07-01
812,CADIZ,23.5,0.0,11.43,19.05,27.95,2019,julio,2019-julio,2019-07-01
813,CANTABRIA,20.04,2.05,7.94,15.76,24.31,2019,julio,2019-julio,2019-07-01
814,CASTELLON,24.43,0.68,10.37,18.59,30.28,2019,julio,2019-julio,2019-07-01
815,CIUDAD REAL,27.43,0.11,10.58,19.49,35.38,2019,julio,2019-julio,2019-07-01
816,CORDOBA,26.65,0.0,13.03,18.84,34.44,2019,julio,2019-julio,2019-07-01
817,CUENCA,25.89,0.12,9.73,17.48,34.3,2019,julio,2019-julio,2019-07-01
818,GIPUZKOA,20.88,3.59,6.35,16.81,24.96,2019,julio,2019-julio,2019-07-01
819,GIRONA,22.09,2.38,10.31,15.07,29.12,2019,julio,2019-julio,2019-07-01
820,GRANADA,26.64,0.0,11.78,17.88,35.39,2019,julio,2019-julio,2019-07-01
821,GUADALAJARA,23.86,0.63,9.93,15.21,32.51,2019,julio,2019-julio,2019-07-01
822,HUELVA,23.96,0.01,12.79,18.17,29.73,2019,julio,2019-julio,2019-07-01
823,HUESCA,23.1,1.32,9.89,15.13,31.09,2019,julio,2019-julio,2019-07-01
824,ILLES BALEARS,26.25,0.15,11.06,21.11,31.4,2019,julio,2019-julio,2019-07-01
825,JAEN,27.81,0.02,11.0,20.0,35.61,2019,julio,2019-julio,2019-07-01
826,LA RIOJA,24.56,1.47,10.72,17.31,31.83,2019,julio,2019-julio,2019-07-01
827,LAS PALMAS,23.61,0.03,9.42,20.65,26.57,2019,julio,2019-julio,2019-07-01
828,LEON,19.74,0.84,10.71,12.37,27.11,2019,julio,2019-julio,2019-07-01
829,LLEIDA,23.95,1.72,11.45,15.95,31.94,2019,julio,2019-julio,2019-07-01
830,LUGO,19.04,1.88,7.51,12.75,25.32,2019,julio,2019-julio,2019-07-01
831,MADRID,25.13,0.3,11.77,17.93,32.34,2019,julio,2019-julio,2019-07-01
832,MALAGA,25.73,0.0,9.7,20.73,30.72,2019,julio,2019-julio,2019-07-01
833,MURCIA,27.23,0.02,11.38,21.05,33.4,2019,julio,2019-julio,2019-07-01
834,NAVARRA,23.01,1.85,10.05,16.3,29.72,2019,julio,2019-julio,2019-07-01
835,OURENSE,21.04,0.99,8.9,13.09,29.0,2019,julio,2019-julio,2019-07-01
836,PALENCIA,20.57,1.78,9.01,12.29,28.85,2019,julio,2019-julio,2019-07-01
837,PONTEVEDRA,20.5,0.7,9.35,15.2,25.81,2019,julio,2019-julio,2019-07-01
838,SALAMANCA,22.03,0.82,11.13,13.61,30.46,2019,julio,2019-julio,2019-07-01
839,SEGOVIA,21.45,0.55,11.17,14.89,28.01,2019,julio,2019-julio,2019-07-01
840,SEVILLA,25.82,0.0,11.7,17.98,33.65,2019,julio,2019-julio,2019-07-01
841,SORIA,22.0,3.14,9.97,13.85,30.14,2019,julio,2019-julio,2019-07-01
842,STA. CRUZ DE TENERIFE,22.53,0.02,9.72,19.23,25.83,2019,julio,2019-julio,2019-07-01
843,TARRAGONA,26.72,0.44,11.22,21.71,31.73,2019,julio,2019-julio,2019-07-01
844,TERUEL,25.16,1.09,10.58,16.61,33.7,2019,julio,2019-julio,2019-07-01
845,TOLEDO,27.09,0.35,12.14,19.23,34.95,2019,julio,2019-julio,2019-07-01
846,VALENCIA,26.49,0.25,11.14,20.96,32.03,2019,julio,2019-julio,2019-07-01
847,VALLADOLID,23.23,1.11,10.48,14.97,31.5,2019,julio,2019-julio,2019-07-01
848,ZAMORA,22.82,0.88,11.09,14.19,31.44,2019,julio,2019-julio,2019-07-01
849,ZARAGOZA,25.32,1.13,10.74,17.65,32.99,2019,julio,2019-julio,2019-07-01
850,A CORUÑA,19.66,1.41,7.63,15.5,23.82,2019,agosto,2019-agosto,2019-08-01
851,ALBACETE,25.58,0.41,10.67,17.72,33.45,2019,agosto,2019-agosto,2019-08-01
852,ALICANTE,26.17,1.93,10.91,20.34,31.99,2019,agosto,2019-agosto,2019-08-01
853,ALMERIA,26.15,0.01,10.97,21.46,30.83,2019,agosto,2019-agosto,2019-08-01
854,ARABA/ALAVA,20.6,0.92,8.66,13.19,28.0,2019,agosto,2019-agosto,2019-08-01
855,ASTURIAS,18.95,1.21,6.06,15.01,22.88,2019,agosto,2019-agosto,2019-08-01
856,AVILA,22.15,0.41,10.79,14.37,29.92,2019,agosto,2019-agosto,2019-08-01
857,BADAJOZ,26.46,0.05,11.66,17.9,35.02,2019,agosto,2019-agosto,2019-08-01
858,BARCELONA,25.32,1.41,9.68,20.61,30.04,2019,agosto,2019-agosto,2019-08-01
859,BIZKAIA,20.72,0.92,5.8,16.77,24.67,2019,agosto,2019-agosto,2019-08-01
860,BURGOS,20.56,0.39,8.83,12.1,29.04,2019,agosto,2019-agosto,2019-08-01
861,CACERES,26.43,0.3,10.93,18.47,34.39,2019,agosto,2019-agosto,2019-08-01
862,CADIZ,24.84,0.0,11.66,19.65,30.04,2019,agosto,2019-agosto,2019-08-01
863,CANTABRIA,20.21,1.38,6.8,15.66,24.76,2019,agosto,2019-agosto,2019-08-01
864,CASTELLON,23.52,1.04,9.65,17.94,29.09,2019,agosto,2019-agosto,2019-08-01
865,CIUDAD REAL,26.43,0.13,10.29,18.17,34.69,2019,agosto,2019-agosto,2019-08-01
866,CORDOBA,27.29,0.12,12.46,19.4,35.18,2019,agosto,2019-agosto,2019-08-01
867,CUENCA,24.61,0.46,9.27,16.11,33.11,2019,agosto,2019-agosto,2019-08-01
868,GIPUZKOA,20.66,2.29,6.68,16.38,24.94,2019,agosto,2019-agosto,2019-08-01
869,GIRONA,21.68,0.89,9.56,14.52,28.82,2019,agosto,2019-agosto,2019-08-01
870,GRANADA,26.16,0.03,11.46,16.84,35.49,2019,agosto,2019-agosto,2019-08-01
871,GUADALAJARA,22.09,0.56,8.76,13.52,30.65,2019,agosto,2019-agosto,2019-08-01
872,HUELVA,25.69,0.0,12.44,19.32,32.05,2019,agosto,2019-agosto,2019-08-01
873,HUESCA,22.31,1.79,8.61,14.65,29.98,2019,agosto,2019-agosto,2019-08-01
874,ILLES BALEARS,25.65,0.59,10.58,20.98,30.33,2019,agosto,2019-agosto,2019-08-01
875,JAEN,27.52,0.3,10.77,19.65,35.38,2019,agosto,2019-agosto,2019-08-01
876,LA RIOJA,23.82,0.58,10.59,16.02,31.62,2019,agosto,2019-agosto,2019-08-01
877,LAS PALMAS,24.69,0.02,9.97,21.5,27.89,2019,agosto,2019-agosto,2019-08-01
878,LEON,19.07,0.42,9.81,11.6,26.54,2019,agosto,2019-agosto,2019-08-01
879,LLEIDA,23.15,1.36,10.99,15.47,30.83,2019,agosto,2019-agosto,2019-08-01
880,LUGO,19.38,0.76,7.53,13.15,25.61,2019,agosto,2019-agosto,2019-08-01
881,MADRID,23.82,1.29,10.93,16.7,30.94,2019,agosto,2019-agosto,2019-08-01
882,MALAGA,26.36,0.0,10.34,21.55,31.18,2019,agosto,2019-agosto,2019-08-01
883,MURCIA,27.04,0.32,10.71,21.02,33.04,2019,agosto,2019-agosto,2019-08-01
884,NAVARRA,22.75,0.51,9.61,15.45,30.04,2019,agosto,2019-agosto,2019-08-01
885,OURENSE,20.25,0.85,8.2,12.2,28.31,2019,agosto,2019-agosto,2019-08-01
886,PALENCIA,19.91,0.66,8.33,11.65,28.18,2019,agosto,2019-agosto,2019-08-01
887,PONTEVEDRA,19.92,1.84,9.28,14.98,24.86,2019,agosto,2019-agosto,2019-08-01
888,SALAMANCA,21.38,0.89,10.25,13.37,29.4,2019,agosto,2019-agosto,2019-08-01
889,SEGOVIA,20.65,0.99,9.89,14.09,27.2,2019,agosto,2019-agosto,2019-08-01
890,SEVILLA,27.13,0.09,12.1,18.71,35.56,2019,agosto,2019-agosto,2019-08-01
891,SORIA,21.45,0.97,9.59,13.25,29.66,2019,agosto,2019-agosto,2019-08-01
892,STA. CRUZ DE TENERIFE,23.96,0.0,10.01,20.43,27.49,2019,agosto,2019-agosto,2019-08-01
893,TARRAGONA,26.24,1.91,9.92,21.49,31.01,2019,agosto,2019-agosto,2019-08-01
894,TERUEL,24.29,0.46,9.95,16.04,32.54,2019,agosto,2019-agosto,2019-08-01
895,TOLEDO,25.95,0.16,11.7,18.16,33.74,2019,agosto,2019-agosto,2019-08-01
896,VALENCIA,26.44,0.6,10.1,20.85,32.03,2019,agosto,2019-agosto,2019-08-01
897,VALLADOLID,22.06,0.58,10.35,13.95,30.16,2019,agosto,2019-agosto,2019-08-01
898,ZAMORA,21.82,0.41,10.2,13.35,30.31,2019,agosto,2019-agosto,2019-08-01
899,ZARAGOZA,24.75,0.67,10.86,17.17,32.34,2019,agosto,2019-agosto,2019-08-01
900,A CORUÑA,18.45,1.7,7.46,14.32,22.57,2019,septiembre,2019-septiembre,2019-09-01
901,ALBACETE,20.94,2.28,7.97,15.02,26.86,2019,septiembre,2019-septiembre,2019-09-01
902,ALICANTE,23.16,5.11,8.36,18.28,28.02,2019,septiembre,2019-septiembre,2019-09-01
903,ALMERIA,23.79,1.74,8.52,19.47,28.1,2019,septiembre,2019-septiembre,2019-09-01
904,ARABA/ALAVA,17.14,1.42,6.92,10.25,24.04,2019,septiembre,2019-septiembre,2019-09-01
905,ASTURIAS,17.04,1.98,6.48,13.19,20.89,2019,septiembre,2019-septiembre,2019-09-01
906,AVILA,17.82,1.54,9.02,11.39,24.39,2019,septiembre,2019-septiembre,2019-09-01
907,BADAJOZ,23.64,0.21,9.6,15.81,31.46,2019,septiembre,2019-septiembre,2019-09-01
908,BARCELONA,22.12,3.48,7.96,17.5,26.74,2019,septiembre,2019-septiembre,2019-09-01
909,BIZKAIA,19.07,2.32,5.84,15.23,22.91,2019,septiembre,2019-septiembre,2019-09-01
910,BURGOS,16.03,1.3,6.98,8.75,23.31,2019,septiembre,2019-septiembre,2019-09-01
911,CACERES,23.07,1.03,9.5,16.08,30.07,2019,septiembre,2019-septiembre,2019-09-01
912,CADIZ,23.0,0.25,9.33,18.13,27.86,2019,septiembre,2019-septiembre,2019-09-01
913,CANTABRIA,18.2,1.85,7.16,13.82,22.57,2019,septiembre,2019-septiembre,2019-09-01
914,CASTELLON,19.78,3.32,8.22,14.59,24.96,2019,septiembre,2019-septiembre,2019-09-01
915,CIUDAD REAL,21.23,1.92,7.94,14.36,28.11,2019,septiembre,2019-septiembre,2019-09-01
916,CORDOBA,23.53,0.81,10.5,16.99,30.06,2019,septiembre,2019-septiembre,2019-09-01
917,CUENCA,20.16,1.64,7.93,13.07,27.24,2019,septiembre,2019-septiembre,2019-09-01
918,GIPUZKOA,19.02,2.1,6.78,14.61,23.43,2019,septiembre,2019-septiembre,2019-09-01
919,GIRONA,17.88,1.29,7.71,11.21,24.55,2019,septiembre,2019-septiembre,2019-09-01
920,GRANADA,21.57,2.31,8.25,13.94,29.2,2019,septiembre,2019-septiembre,2019-09-01
921,GUADALAJARA,17.87,0.97,6.75,10.31,25.46,2019,septiembre,2019-septiembre,2019-09-01
922,HUELVA,23.17,0.57,10.15,17.39,28.94,2019,septiembre,2019-septiembre,2019-09-01
923,HUESCA,18.25,1.26,7.82,11.14,25.35,2019,septiembre,2019-septiembre,2019-09-01
924,ILLES BALEARS,22.76,2.55,7.89,18.48,27.03,2019,septiembre,2019-septiembre,2019-09-01
925,JAEN,23.33,2.37,8.1,16.83,29.83,2019,septiembre,2019-septiembre,2019-09-01
926,LA RIOJA,19.88,1.69,8.87,13.71,26.06,2019,septiembre,2019-septiembre,2019-09-01
927,LAS PALMAS,24.23,0.04,9.7,21.06,27.4,2019,septiembre,2019-septiembre,2019-09-01
928,LEON,16.16,1.54,8.44,9.17,23.15,2019,septiembre,2019-septiembre,2019-09-01
929,LLEIDA,19.5,0.76,9.4,12.1,26.89,2019,septiembre,2019-septiembre,2019-09-01
930,LUGO,17.18,2.78,7.15,11.46,22.91,2019,septiembre,2019-septiembre,2019-09-01
931,MADRID,19.22,2.05,8.21,13.14,25.29,2019,septiembre,2019-septiembre,2019-09-01
932,MALAGA,24.07,1.09,8.49,20.08,28.06,2019,septiembre,2019-septiembre,2019-09-01
933,MURCIA,23.77,5.09,7.73,18.88,28.59,2019,septiembre,2019-septiembre,2019-09-01
934,NAVARRA,19.36,1.19,8.85,12.66,26.06,2019,septiembre,2019-septiembre,2019-09-01
935,OURENSE,18.16,1.38,7.33,10.19,26.12,2019,septiembre,2019-septiembre,2019-09-01
936,PALENCIA,16.48,1.05,7.76,9.46,23.55,2019,septiembre,2019-septiembre,2019-09-01
937,PONTEVEDRA,19.66,2.58,7.95,14.44,24.88,2019,septiembre,2019-septiembre,2019-09-01
938,SALAMANCA,18.71,0.87,9.24,10.79,26.63,2019,septiembre,2019-septiembre,2019-09-01
939,SEGOVIA,16.01,1.66,7.47,10.36,21.67,2019,septiembre,2019-septiembre,2019-09-01
940,SEVILLA,24.07,0.64,8.95,16.92,31.23,2019,septiembre,2019-septiembre,2019-09-01
941,SORIA,16.86,1.32,8.86,9.97,23.75,2019,septiembre,2019-septiembre,2019-09-01
942,STA. CRUZ DE TENERIFE,22.9,0.11,9.09,19.65,26.15,2019,septiembre,2019-septiembre,2019-09-01
943,TARRAGONA,23.24,1.44,8.3,18.14,28.35,2019,septiembre,2019-septiembre,2019-09-01
944,TERUEL,19.78,0.81,8.22,12.43,27.12,2019,septiembre,2019-septiembre,2019-09-01
