,provincia,media_tmed,media_prec,media_sol,media_tmin,media_tmax,año,mes,fecha_str,fecha
56,AVILA,7.13,4.78,5.4,3.1,11.16,2018,marzo,2018-marzo,2018-03-01
57,BADAJOZ,10.77,5.92,5.81,6.25,15.3,2018,marzo,2018-marzo,2018-03-01
58,BARCELONA,11.39,2.5,6.77,6.48,16.3,2018,marzo,2018-marzo,2018-03-01
59,BIZKAIA,10.78,4.07,3.36,7.12,14.43,2018,marzo,2018-marzo,2018-03-01
60,BURGOS,6.13,3.46,3.76,1.97,10.3,2018,marzo,2018-marzo,2018-03-01
61,CACERES,10.19,6.42,6.12,5.89,14.5,2018,marzo,2018-marzo,2018-03-01
62,CADIZ,13.04,11.9,5.48,9.98,16.1,2018,marzo,2018-marzo,2018-03-01
63,CANTABRIA,9.66,5.07,5.02,5.92,13.4,2018,marzo,2018-marzo,2018-03-01
64,CASTELLON,9.88,0.29,7.09,4.8,14.95,2018,marzo,2018-marzo,2018-03-01
65,CIUDAD REAL,8.8,4.45,5.12,4.28,13.32,2018,marzo,2018-marzo,2018-03-01
66,CORDOBA,9.54,7.27,5.83,5.32,13.77,2018,marzo,2018-marzo,2018-03-01
67,CUENCA,7.36,4.44,4.7,2.81,11.92,2018,marzo,2018-marzo,2018-03-01
68,GIPUZKOA,10.46,5.31,4.2,6.62,14.3,2018,marzo,2018-marzo,2018-03-01
69,GIRONA,7.14,2.1,5.32,0.91,13.38,2018,marzo,2018-marzo,2018-03-01
70,GRANADA,9.61,5.76,5.29,5.03,14.19,2018,marzo,2018-marzo,2018-03-01
71,GUADALAJARA,6.43,3.82,4.88,2.09,10.78,2018,marzo,2018-marzo,2018-03-01
72,HUELVA,12.7,7.27,6.47,8.86,16.55,2018,marzo,2018-marzo,2018-03-01
73,HUESCA,5.59,5.69,4.48,1.02,10.17,2018,marzo,2018-marzo,2018-03-01
74,ILLES BALEARS,12.01,3.02,6.61,8.21,15.8,2018,marzo,2018-marzo,2018-03-01
75,JAEN,9.76,6.63,4.77,5.58,13.94,2018,marzo,2018-marzo,2018-03-01
76,LA RIOJA,9.28,1.62,5.92,4.17,14.42,2018,marzo,2018-marzo,2018-03-01
77,LAS PALMAS,19.43,0.02,8.71,16.17,22.69,2018,marzo,2018-marzo,2018-03-01
78,LEON,4.47,4.18,4.58,0.32,8.62,2018,marzo,2018-marzo,2018-03-01
79,LLEIDA,7.8,2.2,6.92,1.9,13.68,2018,marzo,2018-marzo,2018-03-01
80,LUGO,7.04,10.88,3.11,3.16,10.92,2018,marzo,2018-marzo,2018-03-01
81,MADRID,6.32,5.61,4.99,2.44,10.2,2018,marzo,2018-marzo,2018-03-01
82,MALAGA,13.91,6.69,4.59,10.04,17.77,2018,marzo,2018-marzo,2018-03-01
83,MURCIA,13.73,0.59,7.11,8.39,19.08,2018,marzo,2018-marzo,2018-03-01
84,NAVARRA,8.37,3.12,3.87,3.99,12.76,2018,marzo,2018-marzo,2018-03-01
85,OURENSE,7.02,8.48,3.32,2.67,11.37,2018,marzo,2018-marzo,2018-03-01
86,PALENCIA,4.87,5.65,4.36,0.31,9.42,2018,marzo,2018-marzo,2018-03-01
87,PONTEVEDRA,9.11,11.2,3.49,5.74,12.48,2018,marzo,2018-marzo,2018-03-01
88,SALAMANCA,5.33,6.77,4.93,1.05,9.61,2018,marzo,2018-marzo,2018-03-01
89,SEGOVIA,2.34,3.1,2.97,-0.83,5.5,2018,marzo,2018-marzo,2018-03-01
90,SEVILLA,11.54,7.39,5.7,7.0,16.07,2018,marzo,2018-marzo,2018-03-01
91,SORIA,5.49,3.52,5.26,1.34,9.65,2018,marzo,2018-marzo,2018-03-01
92,STA. CRUZ DE TENERIFE,17.63,0.3,8.07,14.34,20.92,2018,marzo,2018-marzo,2018-03-01
93,TARRAGONA,12.81,0.72,5.68,7.74,17.88,2018,marzo,2018-marzo,2018-03-01
94,TERUEL,8.7,0.97,6.18,3.32,14.08,2018,marzo,2018-marzo,2018-03-01
95,TOLEDO,8.38,5.07,6.7,3.96,12.79,2018,marzo,2018-marzo,2018-03-01
96,VALENCIA,13.77,0.78,6.4,8.6,18.94,2018,marzo,2018-marzo,2018-03-01
97,VALLADOLID,6.44,3.72,5.37,2.16,10.72,2018,marzo,2018-marzo,2018-03-01
98,ZAMORA,6.9,4.36,5.35,2.49,11.3,2018,marzo,2018-marzo,2018-03-01
99,ZARAGOZA,9.25,1.64,6.09,4.3,14.21,2018,marzo,2018-marzo,2018-03-01
100,A CORUÑA,12.37,3.87,6.02,8.68,16.06,2018,abril,2018-abril,2018-04-01
101,ALBACETE,12.59,1.06,7.31,6.81,18.37,2018,abril,2018-abril,2018-04-01
102,ALICANTE,15.49,0.81,8.82,10.01,20.96,2018,abril,2018-abril,2018-04-01
103,ALMERIA,15.94,0.4,8.53,11.01,20.87,2018,abril,2018-abril,2018-04-01
104,ARABA/ALAVA,11.71,3.93,5.87,6.12,17.31,2018,abril,2018-abril,2018-04-01
105,ASTURIAS,11.67,2.88,5.04,7.99,15.36,2018,abril,2018-abril,2018-04-01
106,AVILA,11.44,2.91,7.25,6.29,16.57,2018,abril,2018-abril,2018-04-01
107,BADAJOZ,14.24,2.96,7.56,8.7,19.78,2018,abril,2018-abril,2018-04-01
108,BARCELONA,15.05,2.76,7.78,10.48,19.63,2018,abril,2018-abril,2018-04-01
109,BIZKAIA,14.13,3.49,4.24,10.28,17.98,2018,abril,2018-abril,2018-04-01
110,BURGOS,10.36,2.52,5.78,4.71,16.01,2018,abril,2018-abril,2018-04-01
111,CACERES,13.84,2.95,7.51,8.69,18.99,2018,abril,2018-abril,2018-04-01
