id_pernoctaciones_combined,Provincias,2018M01_Residentes en Espana,2018M01_Residentes en el Extranjero,2018M02_Residentes en Espana,2018M02_Residentes en el Extranjero,2018M03_Residentes en Espana,2018M03_Residentes en el Extranjero,2018M04_Residentes en Espana,2018M04_Residentes en el Extranjero,2018M05_Residentes en Espana,2018M05_Residentes en el Extranjero,2018M06_Residentes en Espana,2018M06_Residentes en el Extranjero,2018M07_Residentes en Espana,2018M07_Residentes en el Extranjero,2018M08_Residentes en Espana,2018M08_Residentes en el Extranjero,2018M09_Residentes en Espana,2018M09_Residentes en el Extranjero,2018M10_Residentes en Espana,2018M10_Residentes en el Extranjero,2018M11_Residentes en Espana,2018M11_Residentes en el Extranjero,2018M12_Residentes en Espana,2018M12_Residentes en el Extranjero,2019M01_Residentes en Espana,2019M01_Residentes en el Extranjero,2019M02_Residentes en Espana,2019M02_Residentes en el Extranjero,2019M03_Residentes en Espana,2019M03_Residentes en el Extranjero,2019M04_Residentes en Espana,2019M04_Residentes en el Extranjero,2019M05_Residentes en Espana,2019M05_Residentes en el Extranjero,2019M06_Residentes en Espana,2019M06_Residentes en el Extranjero,2019M07_Residentes en Espana,2019M07_Residentes en el Extranjero,2019M08_Residentes en Espana,2019M08_Residentes en el Extranjero,2019M09_Residentes en Espana,2019M09_Residentes en el Extranjero,2019M10_Residentes en Espana,2019M10_Residentes en el Extranjero,2019M11_Residentes en Espana,2019M11_Residentes en el Extranjero,2019M12_Residentes en Espana,2019M12_Residentes en el Extranjero,2020M01_Residentes en Espana,2020M01_Residentes en el Extranjero,2020M02_Residentes en Espana,2020M02_Residentes en el Extranjero,2020M03_Residentes en Espana,2020M03_Residentes en el Extranjero,2020M04_Residentes en Espana,2020M04_Residentes en el Extranjero,2020M05_Residentes en Espana,2020M05_Residentes en el Extranjero,2020M06_Residentes en Espana,2020M06_Residentes en el Extranjero,2020M07_Residentes en Espana,2020M07_Residentes en el Extranjero,2020M08_Residentes en Espana,2020M08_Residentes en el Extranjero,2020M09_Residentes en Espana,2020M09_Residentes en el Extranjero,2020M10_Residentes en Espana,2020M10_Residentes en el Extranjero,2020M11_Residentes en Espana,2020M11_Residentes en el Extranjero,2020M12_Residentes en Espana,2020M12_Residentes en el Extranjero,2021M01_Residentes en Espana,2021M01_Residentes en el Extranjero,2021M02_Residentes en Espana,2021M02_Residentes en el Extranjero,2021M03_Residentes en Espana,2021M03_Residentes en el Extranjero,2021M04_Residentes en Espana,2021M04_Residentes en el Extranjero,2021M05_Residentes en Espana,2021M05_Residentes en el Extranjero,2021M06_Residentes en Espana,2021M06_Residentes en el Extranjero,2021M07_Residentes en Espana,2021M07_Residentes en el Extranjero,2021M08_Residentes en Espana,2021M08_Residentes en el Extranjero,2021M09_Residentes en Espana,2021M09_Residentes en el Extranjero,2021M10_Residentes en Espana,2021M10_Residentes en el Extranjero,2021M11_Residentes en Espana,2021M11_Residentes en el Extranjero,2021M12_Residentes en Espana,2021M12_Residentes en el Extranjero,2022M01_Residentes en Espana,2022M01_Residentes en el Extranjero,2022M02_Residentes en Espana,2022M02_Residentes en el Extranjero,2022M03_Residentes en Espana,2022M03_Residentes en el Extranjero,2022M04_Residentes en Espana,2022M04_Residentes en el Extranjero,2022M05_Residentes en Espana,2022M05_Residentes en el Extranjero,2022M06_Residentes en Espana,2022M06_Residentes en el Extranjero,2022M07_Residentes en Espana,2022M07_Residentes en el Extranjero,2022M08_Residentes en Espana,2022M08_Residentes en el Extranjero,2022M09_Residentes en Espana,2022M09_Residentes en el Extranjero,2022M10_Residentes en Espana,2022M10_Residentes en el Extranjero,2022M11_Residentes en Espana,2022M11_Residentes en el Extranjero,2022M12_Residentes en Espana,2022M12_Residentes en el Extranjero
11,BURGOS,47.366,13.118,51.928,12.583,81.514,20.618,84.072,30.184,79.929,42.400,73.966,39.259,80.870,57.879,114.128,62.288,85.896,50.740,86.717,36.761,72.828,18.087,65.473,15.836,40.812,12.489,50.794,13.569,74.224,21.278,86.649,33.699,81.005,44.525,82.843,39.436,84.401,56.648,125.856,66.257,87.010,49.427,86.995,36.760,64.772,18.655,64.404,17.845,52.252,13.924,59.250,14.818,15.996,6.878,0,0,549,146,12.132,2.271,49.176,18.102,66.600,20.091,43.388,8.889,31.220,8.179,15.772,3.899,14.330,3.804,14.197,3.295,16.755,2.668,20.143,4.191,24.362,3.336,36.310,6.571,52.092,10.375,79.751,27.339,125.302,31.038,82.649,27.304,91.192,25.407,60.663,16.484,53.903,12.652,25.249,8.436,36.617,8.556,41.771,11.765,54.790,20.614,48.883,28.483,47.883,27.486,54.521,44.427,76.550,54.722,58.725,32.446,57.168,26.209,45.390,11.971,38.885,11.458
12,CACERES,49.681,7.030,62.415,7.554,89.044,11.930,109.629,18.148,98.442,20.613,88.278,17.487,90.749,17.112,124.208,19.826,94.017,19.134,104.801,17.001,85.028,11.001,64.975,9.619,51.164,7.484,56.410,7.224,91.826,14.119,109.279,22.433,94.895,24.583,94.233,16.282,94.207,15.530,122.420,18.857,96.333,20.247,97.241,19.071,78.543,11.073,65.791,8.424,53.709,9.350,70.349,7.286,29.798,3.113,0,0,5.360,1.142,15.120,1.126,57.131,4.648,87.400,6.169,55.170,3.723,42.587,4.478,27.552,2.524,25.312,1.663,12.044,901,16.731,1.206,39.442,1.281,28.455,1.990,48.867,2.901,69.352,4.883,86.869,6.823,123.736,9.679,96.390,11.238,104.597,14.648,72.708,11.108,68.566,6.273,26.424,3.101,36.899,4.022,42.026,5.420,59.719,9.711,47.993,11.463,51.317,8.766,54.390,8.945,62.308,10.673,54.099,11.130,52.986,10.543,44.120,5.448,35.233,4.596
13,CADIZ,98.102,86.384,157.292,106.452,219.248,185.382,251.077,304.053,318.351,446.796,452.141,428.423,773.366,386.672,931.071,365.670,501.979,496.251,287.489,450.053,153.558,127.417,155.851,87.006,105.745,105.249,153.273,113.125,223.331,183.955,318.189,307.026,372.727,406.640,496.983,428.415,802.610,391.709,996.252,356.332,532.160,483.975,284.112,433.017,164.926,122.616,160.290,72.309,102.615,85.702,204.998,98.576,74.522,79.621,0,0,10.590,1.354,108.333,13.918,567.894,95.340,799.416,107.955,358.112,52.072,151.998,38.141,40.684,19.730,45.625,16.054,38.886,15.458,42.130,18.200,55.904,26.643,63.689,30.264,241.353,54.434,567.364,90.747,927.887,164.252,1.071.095,179.987,618.430,244.439,307.754,243.165,139.944,94.631,135.215,43.816,49.164,17.547,80.010,27.531,85.986,39.880,163.824,76.934,197.200,89.603,232.757,93.969,289.088,91.039,287.126,88.755,210.507,105.865,139.809,93.863,87.654,35.834,81.711,26.123
14,CANTABRIA,63.463,13.080,73.474,12.277,142.052,20.299,174.883,37.047,159.225,63.919,209.199,73.594,360.502,87.625,500.634,79.358,262.949,87.675,188.794,52.472,122.135,16.937,93.094,15.789,60.397,15.689,82.128,14.174,126.412,22.372,200.666,44.182,171.672,61.503,218.491,74.599,371.188,87.695,469.759,91.629,256.307,95.141,170.002,54.093,115.584,20.746,95.431,17.486,75.147,16.848,83.048,19.030,40.304,7.354,0,0,1.904,732,30.338,3.654,288.146,28.377,439.373,27.923,166.992,13.531,76.489,10.482,14.911,4.473,17.920,4.193,20.049,3.115,25.241,3.587,28.314,3.497,27.475,4.488,65.115,7.169,166.178,19.406,365.705,51.202,493.718,59.728,262.629,62.485,172.125,54.001,81.878,28.960,67.915,17.532,29.916,5.799,45.163,6.899,51.803,10.609,87.206,20.254,83.590,33.629,97.488,32.505,155.081,39.091,168.066,40.543,114.132,44.773,84.567,27.590,49.866,10.320,45.068,7.984
15,CASTELLON,57.171,15.992,104.732,27.849,211.845,36.356,228.317,60.448,230.392,68.487,386.065,54.839,547.753,59.125,634.580,63.436,419.091,78.526,215.657,67.534,126.346,20.529,80.494,22.013,60.442,17.446,115.586,25.432,195.960,37.417,252.186,62.322,252.154,62.443,410.724,56.975,584.206,58.312,665.770,70.586,405.409,79.279,194.154,79.354,130.545,20.514,83.261,21.441,56.443,18.351,131.207,26.807,66.957,9.492,0,0,3.329,107,30.746,2.027,218.972,21.054,314.381,26.285,179.084,16.648,78.575,15.172,32.835,3.969,31.165,5.869,15.352,5.346,15.857,4.939,35.014,7.703,50.822,7.074,75.980,13.364,273.974,21.683,459.418,35.950,581.229,46.747,334.654,50.437,182.128,39.658,74.642,20.006,66.369,20.566,20.213,6.080,33.824,10.203,46.342,10.901,94.760,19.320,85.605,21.038,118.470,19.592,131.937,24.499,146.163,27.952,103.521,26.445,69.502,19.394,40.063,9.960,33.850,8.314
16,CIUDAD REAL,32.497,4.118,42.092,6.266,55.951,5.056,55.999,8.998,53.615,10.061,53.824,8.183,58.962,10.014,66.816,10.766,58.452,9.813,62.702,10.909,54.048,7.677,42.740,6.138,31.304,6.067,35.116,5.661,47.686,6.235,55.457,10.603,58.679,9.751,54.749,8.062,60.266,9.447,65.513,12.507,55.808,8.474,60.676,9.484,55.692,6.922,43.605,4.980,31.284,5.761,40.167,6.247,19.202,1.674,0,0,2.396,410,13.382,1.288,30.787,2.614,38.848,3.711,27.864,2.532,24.919,2.902,17.286,2.631,15.204,1.292,11.998,1.189,14.825,1.596,21.529,1.222,23.279,2.444,34.797,2.917,41.153,3.558,49.186,4.629,57.526,6.378,46.230,5.986,61.206,7.876,47.439,5.621,38.020,3.585,18.730,1.955,25.710,2.526,26.333,2.564,37.757,3.585,34.770,4.079,34.533,4.623,38.090,5.139,37.757,5.385,35.737,5.072,36.071,4.679,28.964,3.195,24.316,2.856
17,CORDOBA,80.726,32.085,87.406,40.370,115.174,53.257,112.372,79.802,120.809,87.579,97.383,63.565,87.464,61.061,105.128,66.346,93.146,81.811,105.325,83.306,108.441,46.031,105.918,42.174,83.591,38.156,91.329,43.754,115.456,60.573,115.972,88.732,131.158,92.101,100.268,75.520,92.565,63.129,114.699,68.697,98.943,80.880,101.065,90.390,101.995,53.423,105.747,47.561,83.511,47.594,97.500,42.937,44.325,18.502,0,0,2.508,1.117,14.490,2.261,42.835,10.759,64.022,15.580,58.210,10.110,62.062,11.205,20.121,3.041,25.184,2.916,21.715,2.450,20.358,1.999,27.703,3.509,31.856,3.302,70.083,13.564,76.385,15.897,77.051,25.860,102.861,33.895,98.543,38.747,113.915,49.884,96.326,37.179,90.143,28.219,40.303,13.587,53.129,17.414,54.895,26.537,65.504,39.625,64.872,43.781,53.379,32.670,47.748,24.964,56.282,31.168,57.170,41.354,62.365,44.698,59.044,26.774,53.101,.
18,CUENCA,25.959,3.022,27.864,2.654,40.411,3.538,44.023,4.073,36.144,6.848,38.213,5.821,37.702,14.790,59.939,5.982,43.759,6.627,47.080,7.068,39.329,4.472,36.141,2.781,25.133,3.254,29.845,2.579,39.811,3.716,45.255,5.230,38.500,8.362,40.138,8.193,39.512,13.148,58.723,6.323,44.167,7.327,42.368,7.172,35.792,4.307,36.896,3.324,27.120,3.300,34.842,2.549,16.417,1.375,0,0,600,111,6.141,318,28.753,3.636,46.154,3.385,32.816,2.504,26.105,1.910,11.591,425,9.847,501,6.085,720,11.042,609,17.348,986,18.625,1.002,24.199,1.696,34.833,2.226,43.085,4.460,68.831,5.403,48.343,5.558,47.551,7.226,37.340,3.658,32.615,3.448,13.439,1.514,17.774,1.927,18.877,1.936,25.436,3.632,22.236,4.284,22.035,3.779,26.453,3.320,31.288,3.506,24.969,3.573,26.074,4.125,20.991,2.569,17.175,1.556
19,GIPUZKOA,68.345,36.348,78.452,38.700,114.353,57.182,108.230,82.960,93.069,122.844,101.106,119.836,135.959,144.148,160.488,133.440,110.835,121.822,111.970,98.172,108.922,53.516,91.529,45.012,71.740,39.246,82.211,39.367,107.878,54.948,120.216,90.558,105.442,120.633,99.369,136.356,124.496,152.339,156.767,146.089,108.563,132.204,107.893,113.717,99.195,55.235,84.660,46.004,68.106,45.208,89.388,44.101,47.561,22.874,0,0,5.452,677,24.409,6.381,98.336,58.483,134.927,72.511,81.444,30.977,52.336,23.357,21.263,6.621,22.802,8.622,23.392,9.789,23.341,6.870,45.438,9.968,53.143,10.147,52.229,23.034,93.501,35.092,166.534,82.236,227.149,99.572,129.193,89.477,138.102,85.722,97.542,52.809,81.272,44.733,34.508,21.825,48.356,26.408,53.037,31.919,66.252,46.930,56.910,61.060,55.951,65.157,62.091,80.861,69.437,77.361,58.492,71.154,62.028,59.156,57.573,37.501,53.999,31.197
20,GIRONA,114.872,87.683,148.637,112.295,303.199,307.791,319.586,551.284,356.994,820.832,363.336,1.081.578,525.316,1.528.707,827.076,1.525.980,414.985,1.179.337,242.364,770.649,151.810,150.935,167.038,86.842,114.808,85.270,144.580,137.385,252.254,234.704,390.824,608.879,296.090,819.148,443.722,1.187.115,551.457,1.577.402,788.605,1.644.925,404.156,1.137.174,199.624,781.783,162.293,164.130,177.365,101.258,130.132,79.360,172.439,131.645,71.518,74.382,0,0,1.788,923,78.548,29.712,424.641,349.454,836.400,333.935,360.339,126.219,103.386,67.945,26.377,11.641,41.608,18.962,31.937,16.162,32.579,14.160,84.848,22.220,91.696,26.539,193.531,95.584,419.158,206.330,668.729,601.757,1.061.665,848.580,419.560,519.045,252.824,413.248,116.200,130.166,190.551,71.022,81.482,30.145,92.785,55.588,94.875,53.608,172.924,156.628,148.939,230.522,255.088,254.234,244.445,343.860,273.522,354.716,176.025,277.909,148.190,202.899,75.232,64.016,101.790,53.654
21,GRANADA,252.431,140.151,268.277,170.004,308.365,234.288,259.961,289.134,227.400,304.856,271.822,257.560,327.061,247.708,415.643,256.856,300.137,303.743,266.031,307.838,244.749,164.361,308.305,157.504,248.982,168.821,286.892,175.194,298.623,247.495,301.838,308.257,250.609,328.752,294.736,284.169,345.476,259.285,440.853,276.239,293.830,326.781,246.518,335.096,233.110,182.395,289.108,174.597,253.857,194.086,276.175,206.451,107.202,90.257,0,0,4.528,302,29.712,3.271,156.594,29.117,254.637,35.627,165.019,26.418,103.919,23.161,19.021,6.848,46.542,13.051,49.388,12.787,38.858,9.262,58.774,14.885,54.146,14.503,96.591,24.220,185.234,47.952,289.051,86.282,409.327,105.286,283.664,128.801,276.413,159.334,202.357,95.923,245.435,89.365,110.796,38.615,145.351,44.443,129.162,60.519,159.647,92.073,130.377,97.455,141.675,89.059,137.410,88.681,167.963,96.847,142.538,103.293,139.347,101.210,108.565,56.469,133.853,57.664
22,GUADALAJARA,19.746,6.752,28.177,5.180,31.981,6.628,39.888,5.725,36.847,7.861,40.827,7.784,45.144,6.780,38.056,6.774,39.423,7.766,40.132,8.167,33.121,5.452,32.866,4.104,23.949,2.862,26.247,4.624,37.870,5.831,40.215,4.701,38.180,7.330,39.747,8.043,40.706,5.772,39.234,6.006,34.657,5.768,39.326,8.321,34.557,4.100,30.842,4.071,22.615,4.169,28.251,5.122,13.369,3.857,0,0,4.082,1.325,10.638,2.034,28.665,2.850,31.546,2.637,22.442,2.498,21.102,2.363,15.353,1.614,14.573,1.438,8.892,1.850,11.516,1.989,15.533,1.314,16.908,1.681,25.890,2.546,30.858,3.485,37.432,3.798,37.085,4.017,32.247,3.639,38.409,4.822,29.250,3.586,26.709,2.513,11.320,1.130,15.208,1.708,15.407,2.935,21.601,2.628,20.954,3.635,22.873,2.492,25.665,2.924,20.045,2.882,21.654,3.020,20.906,3.234,19.332,3.138,15.923,1.838
23,HUELVA,46.679,24.207,98.032,31.177,193.457,46.780,224.416,105.442,196.232,159.938,279.391,205.113,505.036,161.247,560.501,178.890,326.105,204.268,187.427,124.520,96.120,36.115,40.808,11.845,35.448,26.468,94.706,29.406,191.337,42.452,260.696,116.605,257.644,162.774,317.681,210.852,527.333,153.563,590.245,179.012,332.607,213.849,133.668,117.205,84.050,27.642,54.499,11.908,52.211,19.887,128.673,22.974,64.106,27.523,0,0,860,262,30.630,1.759,323.301,19.272,444.916,36.610,216.039,26.474,51.649,7.089,11.338,1.546,12.772,1.401,13.226,2.377,11.683,1.196,16.356,2.684,14.302,2.957,75.991,6.635,296.265,52.437,549.649,52.959,654.117,76.319,360.291,100.333,133.664,59.967,50.749,17.897,37.407,7.741,16.276,2.493,29.081,4.256,29.366,7.939,67.411,19.142,99.375,26.197,112.339,35.350,143.959,27.963,136.330,32.493,104.723,38.203,60.410,22.767,32.912,9.331,20.506,5.088
24,HUESCA,170.918,12.265,180.026,27.376,184.157,18.403,100.840,17.441,65.736,27.935,101.704,38.797,187.805,53.271,300.294,57.559,136.943,41.782,100.900,20.291,52.605,10.546,113.410,10.518,115.111,9.606,163.447,27.569,172.107,23.787,115.798,17.188,79.300,27.802,129.108,39.728,204.523,48.086,315.000,53.557,132.468,41.508,97.552,23.052,57.316,7.512,153.441,10.962,176.504,9.823,189.767,21.244,71.718,13.725,0,0,3.612,894,22.533,2.168,132.452,21.762,231.647,25.158,97.203,12.544,64.363,9.211,10.421,2.636,11.601,1.531,12.086,2.532,14.187,3.206,28.243,4.738,46.365,4.645,41.240,6.867,98.322,13.651,230.274,33.041,340.608,35.890,143.685,33.134,121.764,24.255,50.872,10.033,138.677,12.751,69.769,4.220,67.726,7.734,56.110,5.387,58.675,8.947,38.692,14.385,53.713,17.937,86.845,23.766,103.481,24.154,60.299,21.693,47.588,11.826,23.507,3.968,50.705,4.647
25,ILLES BALEARS,64.477,158.976,194.180,394.248,331.686,959.193,372.892,2.461.842,544.398,6.895.031,620.301,8.717.950,749.173,9.988.610,865.200,9.957.170,561.130,8.590.717,424.553,5.650.268,129.162,254.957,64.474,223.103,54.408,129.311,153.099,357.932,215.128,932.094,354.124,2.710.493,514.204,6.592.341,648.436,8.564.483,776.686,9.755.705,969.715,9.879.075,608.876,8.394.762,294.200,5.531.878,91.267,302.720,57.813,230.187,55.272,175.890,149.209,381.782,75.721,288.059,0,0,5.055,622,51.712,17.196,321.572,1.422.774,725.225,1.443.906,329.907,255.537,84.054,86.786,31.589,17.687,26.637,17.478,16.193,11.414,20.979,10.944,33.418,59.235,56.071,216.840,152.835,757.620,508.570,2.034.560,823.313,4.867.361,1.197.578,5.285.067,643.627,4.680.723,355.543,3.601.717,69.464,248.969,61.093,105.163,20.603,21.528,42.557,50.067,60.834,141.624,111.992,515.508,174.365,1.204.285,238.985,1.503.440,242.215,1.662.644,284.123,1.670.321,187.516,1.430.997,167.105,905.023,44.337,66.857,35.980,44.716
26,JAEN,37.892,5.499,47.246,6.405,71.063,8.948,80.397,11.586,77.685,16.163,77.073,10.505,76.048,12.464,94.643,10.680,75.576,13.928,79.887,11.189,70.057,6.877,60.585,5.850,37.010,4.437,48.045,4.651,67.545,7.015,79.259,11.126,76.676,15.569,73.739,9.499,77.163,10.971,91.444,11.846,70.360,15.776,75.755,12.354,65.271,6.114,62.710,5.720,40.318,5.245,57.254,6.556,25.217,2.536,0,0,2.787,104,11.425,642,49.245,3.159,78.376,3.186,55.899,2.225,48.702,1.872,17.637,693,15.351,1.149,14.754,1.181,16.664,708,22.292,1.147,21.998,1.028,44.153,3.479,54.018,2.710,70.064,3.531,101.983,6.484,83.732,8.015,93.562,9.221,71.287,5.310,59.105,4.146,21.376,2.093,32.769,2.511,34.122,3.539,50.678,5.269,44.522,7.100,41.171,5.760,42.519,5.399,46.120,6.509,45.620,7.743,47.486,6.433,36.424,4.334,33.437,3.342
27,LA RIOJA,37.091,6.486,46.925,5.962,65.636,10.748,66.517,17.931,63.501,27.464,67.381,22.752,75.470,18.302,103.233,19.935,76.159,33.073,80.207,18.790,72.669,8.720,57.422,5.433,38.905,5.704,45.247,6.200,63.186,8.402,70.807,18.012,67.275,28.741,66.416,23.213,71.776,18.366,105.051,19.081,74.057,33.057,77.035,22.531,66.530,10.260,54.041,5.857,40.155,6.127,57.266,7.955,17.715,2.645,0,0,1.537,58,9.161,1.007,43.525,5.796,59.820,5.630,34.741,4.385,26.059,3.505,9.303,1.626,9.978,1.399,7.602,817,8.126,1.110,15.229,2.175,14.821,1.976,28.727,3.353,40.409,6.564,64.460,9.589,106.991,15.235,65.909,19.353,78.242,15.414,56.667,7.106,45.449,5.531,16.581,2.273,24.736,3.264,27.001,5.222,39.257,10.381,34.706,16.442,34.665,13.543,40.958,11.233,55.047,13.168,39.576,17.525,41.755,11.233,33.209,4.994,28.079,3.326
28,LAS PALMAS,190.385,3.337.314,178.789,3.138.391,249.741,3.419.708,265.132,3.023.373,294.529,2.914.061,388.677,2.987.357,565.881,3.443.506,808.311,3.513.369,482.443,3.140.713,335.059,3.494.491,236.837,3.117.796,245.077,2.905.485,218.209,3.071.026,189.359,2.828.769,216.227,3.229.375,320.538,3.000.236,383.651,2.601.762,473.525,2.818.966,629.870,3.186.690,829.634,3.198.834,496.611,2.887.860,345.626,3.120.153,250.979,2.948.790,265.797,2.950.470,224.303,3.072.511,211.480,2.989.832,95.195,1.582.602,0,0,3.721,1.468,14.961,4.921,249.931,475.172,583.812,750.836,345.948,216.415,220.496,233.974,89.950,403.266,120.203,483.527,65.896,222.511,72.471,132.930,106.246,196.880,138.012,222.870,192.610,328.188,320.138,633.620,617.912,1.276.299,929.754,1.869.753,556.851,1.992.903,382.012,2.786.901,244.412,2.863.245,295.629,2.414.088,49.378,259.184,62.589,340.660,68.893,394.383,101.633,398.435,118.115,339.220,134.181,345.581,150.193,401.861,166.313,411.778,127.884,355.596,103.601,442.136,70.914,398.047,81.178,427.039
29,LEON,41.573,4.572,48.309,3.939,75.512,7.319,81.948,18.735,73.686,39.353,78.899,30.349,100.498,26.111,126.307,32.570,88.221,42.856,87.171,27.577,68.417,6.710,57.003,4.655,46.475,4.251,58.237,4.783,76.645,9.008,91.384,19.775,82.331,36.095,88.294,34.319,107.882,23.623,142.703,28.634,95.719,38.261,84.825,30.326,68.594,12.197,70.506,5.565,54.783,5.049,70.028,5.903,28.635,2.218,0,0,.,.,.,.,56.202,5.045,100.064,6.342,56.278,4.541,31.833,3.823,22.898,2.366,22.857,1.972,19.008,1.510,19.614,1.275,30.083,1.873,39.012,1.950,48.940,3.313,62.374,6.950,98.731,12.984,161.908,13.720,96.037,21.024,103.680,18.120,66.065,7.983,55.166,5.363,25.822,2.339,36.122,2.837,40.517,4.767,57.409,14.238,57.538,29.475,62.498,25.345,69.805,18.213,93.670,20.310,68.951,27.767,63.344,20.706,40.075,5.068,32.779,2.822
30,LLEIDA,146.572,34.819,142.343,63.961,182.038,41.718,80.038,19.980,69.224,18.097,95.228,22.918,169.502,30.755,259.626,36.556,110.761,35.681,98.800,16.016,63.620,10.755,147.180,21.067,124.596,31.839,141.797,61.993,142.570,59.000,112.069,18.507,81.796,20.101,121.356,25.536,171.518,36.287,276.149,39.853,108.665,33.907,92.653,21.703,65.508,11.335,163.125,22.629,148.307,31.602,154.805,67.198,80.193,22.663,0,0,1.860,24,22.859,1.638,113.944,11.852,246.084,10.217,104.481,7.204,52.765,4.807,17.519,1.512,45.442,4.618,44.019,7.035,22.275,3.643,48.744,5.261,49.412,3.598,56.970,5.529,93.691,9.879,180.702,23.430,282.365,24.334,115.290,20.784,107.355,15.660,55.444,8.727,158.409,22.934,62.941,12.311,70.753,20.327,59.888,14.420,54.301,9.229,44.132,9.915,60.615,12.814,74.285,19.315,99.424,19.904,54.778,15.293,51.414,10.273,30.832,5.949,67.597,9.918
31,LUGO,33.662,2.775,37.807,2.812,62.332,9.612,61.970,12.393,71.625,28.688,83.757,23.795,101.182,19.111,146.736,22.497,87.614,29.797,74.484,19.479,58.525,4.932,49.397,3.974,35.051,4.182,39.011,4.303,50.100,7.762,70.675,22.120,72.888,31.990,84.947,31.097,111.380,24.941,161.741,26.410,89.641,37.620,76.702,27.012,63.391,4.851,53.212,3.633,33.861,3.054,43.831,4.159,21.934,2.354,0,0,1.111,173,15.295,864,48.195,3.161,99.151,6.310,48.579,4.481,37.343,3.214,13.864,1.705,11.408,1.327,9.931,1.723,9.362,1.848,19.878,2.084,23.563,1.528,38.687,2.908,64.772,5.132,124.031,11.481,183.550,12.694,104.482,18.241,84.467,15.093,45.893,5.079,34.604,2.910,15.178,1.028,20.387,1.652,25.183,4.318,46.688,12.083,46.610,25.110,48.858,24.760,71.689,19.315,90.797,17.783,61.765,32.015,46.484,21.110,26.377,4.270,22.705,2.013
32,MADRID,896.539,850.891,891.220,839.162,955.408,1.047.637,876.416,1.205.943,939.310,1.249.670,963.585,1.225.162,861.847,1.251.419,854.666,1.070.532,935.194,1.253.989,943.710,1.347.316,1.002.877,1.073.916,1.069.109,928.281,881.136,888.710,880.621,881.619,979.040,1.197.738,949.015,1.243.947,962.658,1.384.625,959.259,1.366.216,907.375,1.367.073,833.852,1.189.764,896.359,1.375.365,943.801,1.416.809,985.092,1.150.362,1.003.989,1.011.203,920.594,959.850,938.373,928.339,356.134,432.520,0,0,26.084,7.825,157.408,92.380,304.223,160.015,273.236,150.273,333.690,128.843,273.851,110.247,304.090,102.407,358.265,113.179,318.876,109.984,341.895,122.274,409.239,172.986,403.306,156.690,561.269,248.760,656.321,299.923,673.159,449.637,676.957,472.889,816.887,636.852,1.032.907,815.634,923.355,727.600,981.968,613.570,386.597,182.870,484.422,236.771,525.292,323.693,555.151,396.769,550.965,460.034,554.884,461.468,480.539,480.915,448.780,406.755,550.019,498.605,582.487,521.538,593.671,410.424,620.080,347.670
33,MALAGA,222.341,564.916,279.108,650.194,432.625,986.801,423.034,1.294.120,355.660,1.621.204,450.927,1.692.444,756.131,1.678.826,1.006.369,1.606.874,422.828,1.740.399,350.723,1.551.106,257.982,709.377,285.943,491.020,234.413,564.332,306.169,648.260,434.823,945.249,482.522,1.310.304,412.277,1.574.567,521.363,1.648.572,857.409,1.644.242,1.095.971,1.634.252,512.241,1.719.609,349.271,1.613.489,302.882,725.294,309.464,526.694,241.129,629.646,393.482,752.878,187.781,418.259,0,0,2.871,185,63.179,9.765,437.133,290.959,752.720,363.562,284.717,145.436,151.439,94.314,51.433,28.116,56.189,29.434,58.629,30.302,52.451,25.179,87.826,44.664,90.072,68.518,231.529,160.176,609.732,303.409,1.197.854,682.304,1.409.724,970.401,715.417,1.029.625,455.470,1.111.392,283.226,538.065,290.294,302.384,88.951,91.950,163.580,124.117,167.811,192.994,224.104,317.492,216.312,374.336,258.698,352.500,334.995,351.335,321.902,343.423,224.895,395.299,183.271,356.494,144.414,160.002,150.406,133.820
34,MURCIA,94.322,50.300,143.499,51.879,220.424,62.332,222.714,66.024,199.619,82.683,217.257,89.817,262.618,95.225,315.800,104.352,219.917,114.057,206.476,75.849,164.390,47.802,128.074,35.454,111.164,47.766,148.931,47.593,205.514,57.783,214.723,72.354,233.222,83.622,224.354,99.192,274.597,93.329,326.851,105.125,219.403,109.797,176.475,80.766,137.736,47.416,122.726,31.166,92.572,44.242,143.079,54.556,76.221,22.152,0,0,10.589,839,39.221,5.082,125.094,22.101,176.458,25.828,93.567,16.221,65.626,13.892,37.410,5.246,42.460,5.439,32.433,6.148,40.585,5.576,59.556,8.259,65.093,8.353,85.867,15.199,151.808,27.574,254.340,39.852,305.328,60.921,174.169,61.144,149.300,64.056,109.198,38.383,99.477,26.074,40.387,10.326,60.251,15.326,65.218,17.646,96.291,25.754,87.949,28.140,98.921,28.600,118.870,35.545,124.452,41.286,95.122,35.660,88.542,25.753,67.905,18.573,69.122,12.241
