Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2019-06-01 00:00:00,317681,6912,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2019-05-01 00:00:00,257644,6913,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2019-04-01 00:00:00,260696,6914,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2019-03-01 00:00:00,191337,6915,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2019-02-01 00:00:00,94706,6916,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2019-01-01 00:00:00,35448,6917,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-12-01 00:00:00,11908,6918,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-11-01 00:00:00,27642,6919,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-10-01 00:00:00,117205,6920,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-09-01 00:00:00,213849,6921,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-08-01 00:00:00,179012,6922,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-07-01 00:00:00,153563,6923,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-06-01 00:00:00,210852,6924,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-05-01 00:00:00,162774,6925,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-04-01 00:00:00,116605,6926,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-03-01 00:00:00,42452,6927,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-02-01 00:00:00,29406,6928,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2019-01-01 00:00:00,26468,6929,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-12-01 00:00:00,52653,8694,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-11-01 00:00:00,132234,8695,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-10-01 00:00:00,311947,8696,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-09-01 00:00:00,530373,8697,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-08-01 00:00:00,739391,8698,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-07-01 00:00:00,666283,8699,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-06-01 00:00:00,484504,8700,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-05-01 00:00:00,356170,8701,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-04-01 00:00:00,329858,8702,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-03-01 00:00:00,240237,8703,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-02-01 00:00:00,129210,8704,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2018-01-01 00:00:00,70885,8705,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-12-01 00:00:00,40808,8706,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-11-01 00:00:00,96120,8707,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-10-01 00:00:00,187427,8708,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-09-01 00:00:00,326105,8709,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-08-01 00:00:00,560501,8710,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-07-01 00:00:00,505036,8711,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-06-01 00:00:00,279391,8712,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-05-01 00:00:00,196232,8713,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-04-01 00:00:00,224416,8714,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-03-01 00:00:00,193457,8715,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-02-01 00:00:00,98032,8716,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2018-01-01 00:00:00,46679,8717,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-12-01 00:00:00,11845,8718,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-11-01 00:00:00,36115,8719,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-10-01 00:00:00,124520,8720,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-09-01 00:00:00,204268,8721,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-08-01 00:00:00,178890,8722,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-07-01 00:00:00,161247,8723,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-06-01 00:00:00,205113,8724,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-05-01 00:00:00,159938,8725,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-04-01 00:00:00,105442,8726,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-03-01 00:00:00,46780,8727,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-02-01 00:00:00,31177,8728,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2018-01-01 00:00:00,24207,8729,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-12-01 00:00:00,72083,10494,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-11-01 00:00:00,112430,10495,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-10-01 00:00:00,325845,10496,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-09-01 00:00:00,555069,10497,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-08-01 00:00:00,720389,10498,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-07-01 00:00:00,688378,10499,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-06-01 00:00:00,487770,10500,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-05-01 00:00:00,350033,10501,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-04-01 00:00:00,340670,10502,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-03-01 00:00:00,214992,10503,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-02-01 00:00:00,139445,10504,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2017-01-01 00:00:00,67649,10505,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-12-01 00:00:00,60662,10506,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-11-01 00:00:00,91618,10507,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-10-01 00:00:00,176877,10508,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-09-01 00:00:00,294616,10509,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-08-01 00:00:00,502602,10510,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-07-01 00:00:00,472876,10511,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-06-01 00:00:00,271032,10512,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-05-01 00:00:00,203239,10513,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-04-01 00:00:00,180796,10514,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-03-01 00:00:00,179259,10515,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-02-01 00:00:00,112318,10516,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2017-01-01 00:00:00,41897,10517,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-12-01 00:00:00,11421,10518,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-11-01 00:00:00,20812,10519,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-10-01 00:00:00,148968,10520,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-09-01 00:00:00,260453,10521,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-08-01 00:00:00,217787,10522,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-07-01 00:00:00,215502,10523,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-06-01 00:00:00,216738,10524,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-05-01 00:00:00,146794,10525,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-04-01 00:00:00,159874,10526,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-03-01 00:00:00,35733,10527,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-02-01 00:00:00,27127,10528,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2017-01-01 00:00:00,25752,10529,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-12-01 00:00:00,47923,12294,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-11-01 00:00:00,94698,12295,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-10-01 00:00:00,311080,12296,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-09-01 00:00:00,528589,12297,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-08-01 00:00:00,682868,12298,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-07-01 00:00:00,684484,12299,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-06-01 00:00:00,447607,12300,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-05-01 00:00:00,329285,12301,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-04-01 00:00:00,263618,12302,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-03-01 00:00:00,263090,12303,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-02-01 00:00:00,152624,12304,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2016-01-01 00:00:00,83523,12305,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-12-01 00:00:00,40323,12306,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-11-01 00:00:00,77429,12307,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-10-01 00:00:00,176063,12308,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-09-01 00:00:00,340954,12309,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-08-01 00:00:00,492037,12310,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-07-01 00:00:00,504528,12311,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-06-01 00:00:00,255440,12312,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-05-01 00:00:00,214960,12313,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-04-01 00:00:00,171418,12314,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-03-01 00:00:00,154337,12315,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-02-01 00:00:00,124164,12316,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2016-01-01 00:00:00,55770,12317,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-12-01 00:00:00,7600,12318,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-11-01 00:00:00,17268,12319,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-10-01 00:00:00,135017,12320,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-09-01 00:00:00,187635,12321,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-08-01 00:00:00,190831,12322,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-07-01 00:00:00,179956,12323,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-06-01 00:00:00,192166,12324,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-05-01 00:00:00,114325,12325,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-04-01 00:00:00,92200,12326,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-03-01 00:00:00,108753,12327,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-02-01 00:00:00,28460,12328,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2016-01-01 00:00:00,27753,12329,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-12-01 00:00:00,48323,14094,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-11-01 00:00:00,64733,14095,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-10-01 00:00:00,194571,14096,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-09-01 00:00:00,480036,14097,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-08-01 00:00:00,731156,14098,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-07-01 00:00:00,641826,14099,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-06-01 00:00:00,414294,14100,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-05-01 00:00:00,272499,14101,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-04-01 00:00:00,255833,14102,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-03-01 00:00:00,204209,14103,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-02-01 00:00:00,131378,14104,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2015-01-01 00:00:00,38671,14105,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-12-01 00:00:00,36316,14106,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-11-01 00:00:00,43280,14107,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-10-01 00:00:00,98418,14108,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-09-01 00:00:00,335893,14109,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-08-01 00:00:00,523925,14110,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-07-01 00:00:00,512312,14111,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-06-01 00:00:00,294115,14112,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-05-01 00:00:00,186797,14113,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-04-01 00:00:00,204012,14114,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-03-01 00:00:00,171896,14115,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-02-01 00:00:00,91377,14116,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2015-01-01 00:00:00,23451,14117,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-12-01 00:00:00,12008,14118,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-11-01 00:00:00,21453,14119,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-10-01 00:00:00,96153,14120,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-09-01 00:00:00,144143,14121,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-08-01 00:00:00,207231,14122,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-07-01 00:00:00,129514,14123,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-06-01 00:00:00,120180,14124,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-05-01 00:00:00,85702,14125,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-04-01 00:00:00,51821,14126,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-03-01 00:00:00,32313,14127,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-02-01 00:00:00,40000,14128,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2015-01-01 00:00:00,15220,14129,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-12-01 00:00:00,40587,15894,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-11-01 00:00:00,97866,15895,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-10-01 00:00:00,234330,15896,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-09-01 00:00:00,463003,15897,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-08-01 00:00:00,720639,15898,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-07-01 00:00:00,578732,15899,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-06-01 00:00:00,414100,15900,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-05-01 00:00:00,288271,15901,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-04-01 00:00:00,269383,15902,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-03-01 00:00:00,173041,15903,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-02-01 00:00:00,102566,15904,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2014-01-01 00:00:00,45839,15905,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-12-01 00:00:00,29960,15906,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-11-01 00:00:00,85349,15907,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-10-01 00:00:00,151730,15908,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-09-01 00:00:00,325622,15909,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-08-01 00:00:00,567052,15910,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-07-01 00:00:00,449318,15911,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-06-01 00:00:00,289725,15912,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-05-01 00:00:00,204075,15913,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-04-01 00:00:00,215784,15914,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-03-01 00:00:00,143061,15915,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-02-01 00:00:00,80069,15916,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2014-01-01 00:00:00,26009,15917,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-12-01 00:00:00,10627,15918,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-11-01 00:00:00,12517,15919,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-10-01 00:00:00,82600,15920,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-09-01 00:00:00,137382,15921,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-08-01 00:00:00,153588,15922,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-07-01 00:00:00,129415,15923,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-06-01 00:00:00,124375,15924,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-05-01 00:00:00,84195,15925,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-04-01 00:00:00,53599,15926,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-03-01 00:00:00,29980,15927,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-02-01 00:00:00,22496,15928,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Pernoctaciones,Extranjero,2014-01-01 00:00:00,19830,15929,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-09-01 00:00:00,90877,135,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-08-01 00:00:00,101882,136,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-07-01 00:00:00,83664,137,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-06-01 00:00:00,78956,138,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-05-01 00:00:00,88635,139,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Pernoctaciones,General,2023-04-01 00:00:00,111810,140,116790,37.7651913,-3.7903594,20
