Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-05-01 00:00:00,261272,1369,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-04-01 00:00:00,205526,1370,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-03-01 00:00:00,124044,1371,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-02-01 00:00:00,69288,1372,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2022-01-01 00:00:00,40808,1373,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-12-01 00:00:00,31548,1374,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-11-01 00:00:00,46391,1375,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-10-01 00:00:00,130192,1376,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-09-01 00:00:00,171135,1377,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-08-01 00:00:00,203902,1378,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-07-01 00:00:00,169646,1379,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-06-01 00:00:00,159526,1380,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-05-01 00:00:00,110734,1381,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-04-01 00:00:00,59012,1382,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-03-01 00:00:00,44210,1383,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-02-01 00:00:00,34320,1384,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2022-01-01 00:00:00,25143,1385,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-12-01 00:00:00,85687,3150,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-11-01 00:00:00,94076,3151,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-10-01 00:00:00,252487,3152,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-09-01 00:00:00,554020,3153,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-08-01 00:00:00,888922,3154,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-07-01 00:00:00,716524,3155,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-06-01 00:00:00,316500,3156,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-05-01 00:00:00,78609,3157,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-04-01 00:00:00,35496,3158,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-03-01 00:00:00,30503,3159,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-02-01 00:00:00,22618,3160,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2021-01-01 00:00:00,24279,3161,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-12-01 00:00:00,60588,3162,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-11-01 00:00:00,57200,3163,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-10-01 00:00:00,163849,3164,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-09-01 00:00:00,447066,3165,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-08-01 00:00:00,809239,3166,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-07-01 00:00:00,652300,3167,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-06-01 00:00:00,285791,3168,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-05-01 00:00:00,65848,3169,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-04-01 00:00:00,27545,3170,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-03-01 00:00:00,24548,3171,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-02-01 00:00:00,19030,3172,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Espana,2021-01-01 00:00:00,19000,3173,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-12-01 00:00:00,25099,3174,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-11-01 00:00:00,36877,3175,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-10-01 00:00:00,88637,3176,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-09-01 00:00:00,106953,3177,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-08-01 00:00:00,79683,3178,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-07-01 00:00:00,64224,3179,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-06-01 00:00:00,30709,3180,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-05-01 00:00:00,12761,3181,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-04-01 00:00:00,7952,3182,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-03-01 00:00:00,5955,3183,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-02-01 00:00:00,3588,3184,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,Extranjero,2021-01-01 00:00:00,5279,3185,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-12-01 00:00:00,25090,4950,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-11-01 00:00:00,30123,4951,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-10-01 00:00:00,81410,4952,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-09-01 00:00:00,225945,4953,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-08-01 00:00:00,449088,4954,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-07-01 00:00:00,314648,4955,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-06-01 00:00:00,54473,4956,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-05-01 00:00:00,2538,4957,190013,36.83892362,-2.46413188,3
Total Nacional,Andalucia,Almeria,Pernoctaciones,General,2020-04-01 00:00:00,0,4958,190013,36.83892362,-2.46413188,3
