Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,Población,Latitud,Longitud,ID_latitud_longitud
Total Nacional,Andalucia,Huelva,Viajero,General,2018-08-01 00:00:00,155398,8698,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-07-01 00:00:00,149189,8699,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-06-01 00:00:00,113676,8700,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-05-01 00:00:00,90591,8701,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-04-01 00:00:00,72848,8702,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-03-01 00:00:00,57077,8703,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-02-01 00:00:00,42454,8704,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2018-01-01 00:00:00,22352,8705,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-12-01 00:00:00,20719,8706,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-11-01 00:00:00,39943,8707,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-10-01 00:00:00,55240,8708,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-09-01 00:00:00,94359,8709,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-08-01 00:00:00,127727,8710,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-07-01 00:00:00,123485,8711,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-06-01 00:00:00,82218,8712,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-05-01 00:00:00,60026,8713,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-04-01 00:00:00,53540,8714,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-03-01 00:00:00,47942,8715,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-02-01 00:00:00,36262,8716,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2018-01-01 00:00:00,16638,8717,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-12-01 00:00:00,3505,8718,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-11-01 00:00:00,9869,8719,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-10-01 00:00:00,21213,8720,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-09-01 00:00:00,34553,8721,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-08-01 00:00:00,27671,8722,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-07-01 00:00:00,25705,8723,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-06-01 00:00:00,31458,8724,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-05-01 00:00:00,30565,8725,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-04-01 00:00:00,19308,8726,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-03-01 00:00:00,9136,8727,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-02-01 00:00:00,6192,8728,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2018-01-01 00:00:00,5713,8729,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-12-01 00:00:00,25860,10494,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-11-01 00:00:00,33555,10495,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-10-01 00:00:00,102347,10496,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-09-01 00:00:00,140695,10497,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-08-01 00:00:00,152250,10498,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-07-01 00:00:00,154451,10499,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-06-01 00:00:00,127835,10500,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-05-01 00:00:00,102462,10501,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-04-01 00:00:00,90562,10502,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-03-01 00:00:00,48582,10503,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-02-01 00:00:00,40074,10504,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2017-01-01 00:00:00,25284,10505,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-12-01 00:00:00,22576,10506,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-11-01 00:00:00,28899,10507,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-10-01 00:00:00,71856,10508,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-09-01 00:00:00,92977,10509,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-08-01 00:00:00,118107,10510,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-07-01 00:00:00,120903,10511,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-06-01 00:00:00,93252,10512,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-05-01 00:00:00,74589,10513,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-04-01 00:00:00,55136,10514,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-03-01 00:00:00,40746,10515,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-02-01 00:00:00,33617,10516,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2017-01-01 00:00:00,19061,10517,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-12-01 00:00:00,3284,10518,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-11-01 00:00:00,4656,10519,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-10-01 00:00:00,30492,10520,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-09-01 00:00:00,47717,10521,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-08-01 00:00:00,34143,10522,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-07-01 00:00:00,33549,10523,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-06-01 00:00:00,34583,10524,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-05-01 00:00:00,27873,10525,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-04-01 00:00:00,35426,10526,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-03-01 00:00:00,7836,10527,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-02-01 00:00:00,6457,10528,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2017-01-01 00:00:00,6223,10529,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-12-01 00:00:00,24214,12294,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-11-01 00:00:00,33788,12295,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-10-01 00:00:00,86608,12296,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-09-01 00:00:00,128806,12297,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-08-01 00:00:00,165311,12298,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-07-01 00:00:00,150602,12299,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-06-01 00:00:00,120917,12300,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-05-01 00:00:00,92111,12301,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-04-01 00:00:00,67406,12302,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-03-01 00:00:00,66627,12303,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-02-01 00:00:00,39588,12304,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2016-01-01 00:00:00,26081,12305,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-12-01 00:00:00,21092,12306,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-11-01 00:00:00,29101,12307,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-10-01 00:00:00,64149,12308,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-09-01 00:00:00,95452,12309,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-08-01 00:00:00,131217,12310,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-07-01 00:00:00,123259,12311,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-06-01 00:00:00,87580,12312,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-05-01 00:00:00,68668,12313,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-04-01 00:00:00,52764,12314,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-03-01 00:00:00,41792,12315,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-02-01 00:00:00,34710,12316,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2016-01-01 00:00:00,18669,12317,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-12-01 00:00:00,3121,12318,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-11-01 00:00:00,4687,12319,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-10-01 00:00:00,22459,12320,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-09-01 00:00:00,33354,12321,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-08-01 00:00:00,34094,12322,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-07-01 00:00:00,27343,12323,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-06-01 00:00:00,33337,12324,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-05-01 00:00:00,23444,12325,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-04-01 00:00:00,14642,12326,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-03-01 00:00:00,24835,12327,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-02-01 00:00:00,4878,12328,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2016-01-01 00:00:00,7412,12329,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-12-01 00:00:00,25595,14094,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-11-01 00:00:00,26258,14095,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-10-01 00:00:00,73641,14096,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-09-01 00:00:00,115034,14097,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-08-01 00:00:00,154642,14098,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-07-01 00:00:00,139672,14099,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-06-01 00:00:00,115433,14100,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-05-01 00:00:00,97141,14101,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-04-01 00:00:00,64187,14102,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-03-01 00:00:00,46292,14103,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-02-01 00:00:00,39002,14104,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2015-01-01 00:00:00,16266,14105,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-12-01 00:00:00,21274,14106,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-11-01 00:00:00,21915,14107,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-10-01 00:00:00,52979,14108,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-09-01 00:00:00,89104,14109,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-08-01 00:00:00,120724,14110,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-07-01 00:00:00,118834,14111,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-06-01 00:00:00,93945,14112,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-05-01 00:00:00,76498,14113,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-04-01 00:00:00,51684,14114,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-03-01 00:00:00,39152,14115,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-02-01 00:00:00,28148,14116,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2015-01-01 00:00:00,12608,14117,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-12-01 00:00:00,4321,14118,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-11-01 00:00:00,4342,14119,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-10-01 00:00:00,20662,14120,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-09-01 00:00:00,25929,14121,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-08-01 00:00:00,33918,14122,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-07-01 00:00:00,20838,14123,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-06-01 00:00:00,21489,14124,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-05-01 00:00:00,20643,14125,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-04-01 00:00:00,12503,14126,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-03-01 00:00:00,7141,14127,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-02-01 00:00:00,10854,14128,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2015-01-01 00:00:00,3658,14129,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-12-01 00:00:00,19775,15894,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-11-01 00:00:00,35505,15895,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-10-01 00:00:00,70775,15896,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-09-01 00:00:00,117018,15897,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-08-01 00:00:00,153351,15898,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-07-01 00:00:00,128243,15899,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-06-01 00:00:00,127353,15900,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-05-01 00:00:00,99899,15901,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-04-01 00:00:00,70672,15902,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-03-01 00:00:00,43192,15903,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-02-01 00:00:00,34732,15904,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,General,2014-01-01 00:00:00,20199,15905,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-12-01 00:00:00,16951,15906,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-11-01 00:00:00,31672,15907,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-10-01 00:00:00,55763,15908,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-09-01 00:00:00,91329,15909,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-08-01 00:00:00,130138,15910,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-07-01 00:00:00,109689,15911,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-06-01 00:00:00,106168,15912,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-05-01 00:00:00,81994,15913,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-04-01 00:00:00,56855,15914,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-03-01 00:00:00,37241,15915,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-02-01 00:00:00,29908,15916,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Espana,2014-01-01 00:00:00,15774,15917,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-12-01 00:00:00,2824,15918,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-11-01 00:00:00,3833,15919,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-10-01 00:00:00,15012,15920,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-09-01 00:00:00,25688,15921,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-08-01 00:00:00,23213,15922,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-07-01 00:00:00,18554,15923,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-06-01 00:00:00,21185,15924,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-05-01 00:00:00,17904,15925,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-04-01 00:00:00,13817,15926,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-03-01 00:00:00,5951,15927,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-02-01 00:00:00,4824,15928,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2014-01-01 00:00:00,4425,15929,149310,37.26004113,-6.95040588,18
Total Nacional,Andalucia,Jaen,Viajero,General,2023-09-01 00:00:00,50562,135,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-08-01 00:00:00,49968,136,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-07-01 00:00:00,43752,137,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-06-01 00:00:00,44923,138,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-05-01 00:00:00,48647,139,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-04-01 00:00:00,57835,140,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-03-01 00:00:00,45581,141,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-02-01 00:00:00,35966,142,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2023-01-01 00:00:00,28158,143,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-09-01 00:00:00,42533,144,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-08-01 00:00:00,43619,145,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-07-01 00:00:00,37999,146,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-06-01 00:00:00,39713,147,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-05-01 00:00:00,41242,148,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-04-01 00:00:00,51178,149,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-03-01 00:00:00,40513,150,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-02-01 00:00:00,32099,151,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-01-01 00:00:00,24959,152,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-09-01 00:00:00,8029,153,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-08-01 00:00:00,6348,154,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-07-01 00:00:00,5753,155,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-06-01 00:00:00,5209,156,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-05-01 00:00:00,7405,157,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-04-01 00:00:00,6657,158,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-03-01 00:00:00,5068,159,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-02-01 00:00:00,3867,160,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-01-01 00:00:00,3199,161,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-12-01 00:00:00,36780,1530,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-11-01 00:00:00,40758,1531,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-10-01 00:00:00,53919,1532,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-09-01 00:00:00,53363,1533,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-08-01 00:00:00,52629,1534,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-07-01 00:00:00,47918,1535,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-06-01 00:00:00,46932,1536,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-05-01 00:00:00,51623,1537,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-04-01 00:00:00,55947,1538,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-03-01 00:00:00,37661,1539,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-02-01 00:00:00,35280,1540,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,General,2022-01-01 00:00:00,23468,1541,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2022-12-01 00:00:00,33437,1542,116790,37.7651913,-3.7903594,20
Total Nacional,Andalucia,Jaen,Viajero,Espana,2022-11-01 00:00:00,36424,1543,116790,37.7651913,-3.7903594,20
