Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Andalucia,Granada,Viajero,General,2023-07-01,227876
Total Nacional,Andalucia,Granada,Viajero,General,2023-06-01,228645
Total Nacional,Andalucia,Granada,Viajero,General,2023-05-01,232252
Total Nacional,Andalucia,Granada,Viajero,General,2023-04-01,252719
Total Nacional,Andalucia,Granada,Viajero,General,2023-03-01,227157
Total Nacional,Andalucia,Granada,Viajero,General,2023-02-01,198964
Total Nacional,Andalucia,Granada,Viajero,General,2023-01-01,189778
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-09-01,144260
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-08-01,158992
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-07-01,134264
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-06-01,127994
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-05-01,113346
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-04-01,142344
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-03-01,145045
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-02-01,136124
Total Nacional,Andalucia,Granada,Viajero,Espana,2023-01-01,128885
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-09-01,118518
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-08-01,96223
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-07-01,93611
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-06-01,100652
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-05-01,118906
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-04-01,110374
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-03-01,82112
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-02-01,62840
Total Nacional,Andalucia,Granada,Viajero,Extranjero,2023-01-01,60892
Total Nacional,Andalucia,Huelva,Viajero,General,2023-09-01,144469
Total Nacional,Andalucia,Huelva,Viajero,General,2023-08-01,176951
Total Nacional,Andalucia,Huelva,Viajero,General,2023-07-01,164747
Total Nacional,Andalucia,Huelva,Viajero,General,2023-06-01,147976
Total Nacional,Andalucia,Huelva,Viajero,General,2023-05-01,119501
Total Nacional,Andalucia,Huelva,Viajero,General,2023-04-01,101834
Total Nacional,Andalucia,Huelva,Viajero,General,2023-03-01,54315
Total Nacional,Andalucia,Huelva,Viajero,General,2023-02-01,35657
Total Nacional,Andalucia,Huelva,Viajero,General,2023-01-01,32772
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-09-01,100072
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-08-01,137215
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-07-01,130352
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-06-01,109033
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-05-01,87968
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-04-01,77050
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-03-01,43731
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-02-01,29462
Total Nacional,Andalucia,Huelva,Viajero,Espana,2023-01-01,25121
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-09-01,44397
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-08-01,39736
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-07-01,34395
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-06-01,38943
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-05-01,31532
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-04-01,24784
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-03-01,10584
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-02-01,6194
Total Nacional,Andalucia,Huelva,Viajero,Extranjero,2023-01-01,7651
Total Nacional,Andalucia,Jaen,Viajero,General,2023-09-01,50562
Total Nacional,Andalucia,Jaen,Viajero,General,2023-08-01,49968
Total Nacional,Andalucia,Jaen,Viajero,General,2023-07-01,43752
Total Nacional,Andalucia,Jaen,Viajero,General,2023-06-01,44923
Total Nacional,Andalucia,Jaen,Viajero,General,2023-05-01,48647
Total Nacional,Andalucia,Jaen,Viajero,General,2023-04-01,57835
Total Nacional,Andalucia,Jaen,Viajero,General,2023-03-01,45581
Total Nacional,Andalucia,Jaen,Viajero,General,2023-02-01,35966
Total Nacional,Andalucia,Jaen,Viajero,General,2023-01-01,28158
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-09-01,42533
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-08-01,43619
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-07-01,37999
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-06-01,39713
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-05-01,41242
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-04-01,51178
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-03-01,40513
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-02-01,32099
Total Nacional,Andalucia,Jaen,Viajero,Espana,2023-01-01,24959
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-09-01,8029
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-08-01,6348
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-07-01,5753
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-06-01,5209
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-05-01,7405
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-04-01,6657
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-03-01,5068
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-02-01,3867
Total Nacional,Andalucia,Jaen,Viajero,Extranjero,2023-01-01,3199
Total Nacional,Andalucia,Malaga,Viajero,General,2023-09-01,639846
Total Nacional,Andalucia,Malaga,Viajero,General,2023-08-01,719415
Total Nacional,Andalucia,Malaga,Viajero,General,2023-07-01,693528
Total Nacional,Andalucia,Malaga,Viajero,General,2023-06-01,587898
Total Nacional,Andalucia,Malaga,Viajero,General,2023-05-01,613658
Total Nacional,Andalucia,Malaga,Viajero,General,2023-04-01,590876
Total Nacional,Andalucia,Malaga,Viajero,General,2023-03-01,459338
Total Nacional,Andalucia,Malaga,Viajero,General,2023-02-01,317641
Total Nacional,Andalucia,Malaga,Viajero,General,2023-01-01,265918
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-09-01,205989
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-08-01,306957
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-07-01,307459
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-06-01,218532
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-05-01,180022
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-04-01,211032
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-03-01,200271
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-02-01,153124
Total Nacional,Andalucia,Malaga,Viajero,Espana,2023-01-01,115875
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-09-01,433856
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-08-01,412458
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-07-01,386068
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-06-01,369367
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-05-01,433636
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-04-01,379844
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-03-01,259067
Total Nacional,Andalucia,Malaga,Viajero,Extranjero,2023-02-01,164517
