Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total
Total Nacional,Principado de asturias,Asturias,Viajero,General,2020-06-01,28131
Total Nacional,Principado de asturias,Asturias,Viajero,General,2020-05-01,3657
Total Nacional,Principado de asturias,Asturias,Viajero,General,2020-04-01,0
Total Nacional,Principado de asturias,Asturias,Viajero,General,2020-03-01,32867
Total Nacional,Principado de asturias,Asturias,Viajero,General,2020-02-01,84317
Total Nacional,Principado de asturias,Asturias,Viajero,General,2020-01-01,68357
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-12-01,13607
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-11-01,11044
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-10-01,59029
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-09-01,119811
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-08-01,222433
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-07-01,166445
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-06-01,26906
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-05-01,3518
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-04-01,0
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-03-01,29585
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-02-01,76363
Total Nacional,Principado de asturias,Asturias,Viajero,Espana,2020-01-01,61541
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-12-01,981
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-11-01,879
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-10-01,4248
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-09-01,6828
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-08-01,12523
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-07-01,10895
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-06-01,1226
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-05-01,138
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-04-01,0
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-03-01,3282
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-02-01,7954
Total Nacional,Principado de asturias,Asturias,Viajero,Extranjero,2020-01-01,6817
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-12-01,18997
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-11-01,23073
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-10-01,65438
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-09-01,162409
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-08-01,466211
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-07-01,369051
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-06-01,23769
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-05-01,2037
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-04-01,0
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-03-01,82107
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-02-01,142452
Total Nacional,Islas baleares,Islas baleares,Viajero,General,2020-01-01,67682
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-12-01,12958
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-11-01,16747
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-10-01,38554
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-09-01,103005
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-08-01,209986
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-07-01,105212
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-06-01,17945
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-05-01,1878
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-04-01,0
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-03-01,26387
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-02-01,57578
Total Nacional,Islas baleares,Islas baleares,Viajero,Espana,2020-01-01,26331
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-12-01,6040
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-11-01,6326
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-10-01,26885
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-09-01,59404
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-08-01,256226
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-07-01,263839
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-06-01,5824
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-05-01,158
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-04-01,0
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-03-01,55721
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-02-01,84874
Total Nacional,Islas baleares,Islas baleares,Viajero,Extranjero,2020-01-01,41350
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-12-01,102739
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-11-01,82072
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-10-01,105897
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-09-01,112478
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-08-01,225397
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-07-01,133792
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-06-01,6922
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-05-01,833
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-04-01,0
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-03-01,207441
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-02-01,483403
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,General,2020-01-01,424357
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-12-01,38345
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-11-01,29989
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-10-01,63873
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-09-01,86725
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-08-01,132430
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-07-01,65775
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-06-01,5658
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-05-01,602
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-04-01,0
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-03-01,28950
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-02-01,63139
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Espana,2020-01-01,54545
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-12-01,64394
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-11-01,52083
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-10-01,42024
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-09-01,25754
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-08-01,92967
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-07-01,68017
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-06-01,1264
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-05-01,231
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-04-01,0
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-03-01,178491
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-02-01,420264
Total Nacional,Canarias,Las palmas de gran canaria,Viajero,Extranjero,2020-01-01,369812
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-12-01,69151
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-11-01,61041
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-10-01,80267
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-09-01,99737
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-08-01,136244
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-07-01,67561
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-06-01,5434
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-05-01,414
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-04-01,0
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-03-01,135086
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-02-01,337294
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,General,2020-01-01,321313
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-12-01,29350
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-11-01,28229
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-10-01,54168
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-09-01,74263
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-08-01,92950
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-07-01,37640
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-06-01,4923
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-05-01,354
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-04-01,0
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-03-01,24298
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-02-01,69094
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Espana,2020-01-01,63020
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-12-01,39801
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-11-01,32811
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-10-01,26099
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-09-01,25474
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-08-01,43294
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-07-01,29921
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-06-01,511
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-05-01,60
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-04-01,0
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-03-01,110788
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-02-01,268200
Total Nacional,Canarias,Sta. cruz de tenerife,Viajero,Extranjero,2020-01-01,258293
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-12-01,11124
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-11-01,9397
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-10-01,47117
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-09-01,87867
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-08-01,184907
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-07-01,143132
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-06-01,18267
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-05-01,867
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-04-01,0
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-03-01,27633
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-02-01,56353
Total Nacional,Cantabria,Cantabria,Viajero,General,2020-01-01,49849
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-12-01,9628
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-11-01,7965
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-10-01,41686
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-09-01,80866
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-08-01,170793
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-07-01,128918
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-06-01,16674
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-05-01,796
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-04-01,0
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-03-01,22968
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-02-01,47170
Total Nacional,Cantabria,Cantabria,Viajero,Espana,2020-01-01,42180
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-12-01,1495
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-11-01,1432
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-10-01,5431
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-09-01,7001
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-08-01,14114
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-07-01,14213
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-06-01,1593
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-05-01,70
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-04-01,0
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-03-01,4666
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-02-01,9183
Total Nacional,Cantabria,Cantabria,Viajero,Extranjero,2020-01-01,7668
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-12-01,4802
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-11-01,5650
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-10-01,13023
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-09-01,16371
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-08-01,28649
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-07-01,20043
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-06-01,22455
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-05-01,0
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-04-01,0
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-03-01,9418
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-02-01,28846
Total Nacional,Castilla y leon,Avila,Viajero,General,2020-01-01,20986
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-12-01,4300
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-11-01,5369
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-10-01,12296
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-09-01,15670
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-08-01,27404
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-07-01,19257
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-06-01,0
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-05-01,0
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-04-01,0
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-03-01,8368
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-02-01,26499
Total Nacional,Castilla y leon,Avila,Viajero,Espana,2020-01-01,18952
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-12-01,502
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-11-01,281
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-10-01,727
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-09-01,700
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-08-01,1246
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-07-01,787
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-06-01,0
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-05-01,0
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-04-01,0
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-03-01,1051
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-02-01,2347
Total Nacional,Castilla y leon,Avila,Viajero,Extranjero,2020-01-01,2035
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-12-01,11194
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-11-01,9422
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-10-01,23576
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-09-01,32707
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-08-01,57995
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-07-01,45040
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-06-01,9083
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-05-01,396
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-04-01,0
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-03-01,13130
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-02-01,48670
Total Nacional,Castilla y leon,Burgos,Viajero,General,2020-01-01,41745
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-12-01,8281
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-11-01,7316
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-10-01,17515
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-09-01,26009
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-08-01,41573
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-07-01,30614
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-06-01,7120
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-05-01,332
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-04-01,0
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-03-01,9208
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-02-01,38124
Total Nacional,Castilla y leon,Burgos,Viajero,Espana,2020-01-01,31931
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-12-01,2913
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-11-01,2106
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-10-01,6061
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-09-01,6698
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-08-01,16422
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-07-01,14426
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-06-01,1963
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-05-01,64
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-04-01,0
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-03-01,3922
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-02-01,10545
Total Nacional,Castilla y leon,Burgos,Viajero,Extranjero,2020-01-01,9814
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-12-01,11858
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-11-01,11224
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-10-01,18235
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-09-01,34436
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-08-01,59668
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-07-01,34742
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-06-01,0
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-05-01,0
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-04-01,0
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-03-01,14761
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-02-01,44345
Total Nacional,Castilla y leon,Leon,Viajero,General,2020-01-01,33700
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-12-01,10834
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-11-01,10054
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-10-01,16103
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-09-01,31510
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-08-01,55578
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-07-01,31929
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-06-01,0
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-05-01,0
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-04-01,0
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-03-01,13584
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-02-01,40586
Total Nacional,Castilla y leon,Leon,Viajero,Espana,2020-01-01,30404
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-12-01,1024
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-11-01,1170
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-10-01,2132
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-09-01,2926
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-08-01,4090
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-07-01,2814
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-06-01,0
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-05-01,0
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-04-01,0
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-03-01,1177
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-02-01,3759
Total Nacional,Castilla y leon,Leon,Viajero,Extranjero,2020-01-01,3296
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-12-01,3117
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-11-01,3913
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-10-01,8210
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-09-01,10885
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-08-01,15031
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-07-01,11563
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-06-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-05-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-04-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-03-01,6042
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-02-01,11563
Total Nacional,Castilla y leon,Palencia,Viajero,General,2020-01-01,9437
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-12-01,2523
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-11-01,3364
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-10-01,7238
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-09-01,9859
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-08-01,12890
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-07-01,9749
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-06-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-05-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-04-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-03-01,5255
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-02-01,10054
Total Nacional,Castilla y leon,Palencia,Viajero,Espana,2020-01-01,7879
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-12-01,594
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-11-01,548
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-10-01,972
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-09-01,1026
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-08-01,2141
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-07-01,1814
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-06-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-05-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-04-01,0
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-03-01,787
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-02-01,1509
Total Nacional,Castilla y leon,Palencia,Viajero,Extranjero,2020-01-01,1557
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-12-01,9031
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-11-01,8912
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-10-01,22543
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-09-01,34500
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-08-01,62473
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-07-01,42973
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-06-01,6613
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-05-01,390
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-04-01,0
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-03-01,25184
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-02-01,66547
Total Nacional,Castilla y leon,Salamanca,Viajero,General,2020-01-01,55615
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-12-01,7829
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-11-01,7838
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-10-01,18369
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-09-01,28092
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-08-01,53397
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-07-01,34877
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-06-01,5770
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-05-01,361
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-04-01,0
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-03-01,18453
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-02-01,48939
Total Nacional,Castilla y leon,Salamanca,Viajero,Espana,2020-01-01,38936
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-12-01,1202
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-11-01,1075
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-10-01,4175
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-09-01,6408
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-08-01,9076
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-07-01,8096
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-06-01,843
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-05-01,29
Total Nacional,Castilla y leon,Salamanca,Viajero,Extranjero,2020-04-01,0
