Totales_Territoriales,Comunidades_Ciudades_Autonomas,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,ID_pernoctaciones,ID_total
Total Nacional,Islas baleares,Viajero,General,2020-04-01,0,4256,4256,4256
Total Nacional,Islas baleares,Viajero,General,2020-03-01,82107,4257,4257,4257
Total Nacional,Islas baleares,Viajero,General,2020-02-01,142452,4258,4258,4258
Total Nacional,Islas baleares,Viajero,General,2020-01-01,67682,4259,4259,4259
Total Nacional,Islas baleares,Viajero,Espana,2020-12-01,12958,4260,4260,4260
Total Nacional,Islas baleares,Viajero,Espana,2020-11-01,16747,4261,4261,4261
Total Nacional,Islas baleares,Viajero,Espana,2020-10-01,38554,4262,4262,4262
Total Nacional,Islas baleares,Viajero,Espana,2020-09-01,103005,4263,4263,4263
Total Nacional,Islas baleares,Viajero,Espana,2020-08-01,209986,4264,4264,4264
Total Nacional,Islas baleares,Viajero,Espana,2020-07-01,105212,4265,4265,4265
Total Nacional,Islas baleares,Viajero,Espana,2020-06-01,17945,4266,4266,4266
Total Nacional,Islas baleares,Viajero,Espana,2020-05-01,1878,4267,4267,4267
Total Nacional,Islas baleares,Viajero,Espana,2020-04-01,0,4268,4268,4268
Total Nacional,Islas baleares,Viajero,Espana,2020-03-01,26387,4269,4269,4269
Total Nacional,Islas baleares,Viajero,Espana,2020-02-01,57578,4270,4270,4270
Total Nacional,Islas baleares,Viajero,Espana,2020-01-01,26331,4271,4271,4271
Total Nacional,Islas baleares,Viajero,Extranjero,2020-12-01,6040,4272,4272,4272
Total Nacional,Islas baleares,Viajero,Extranjero,2020-11-01,6326,4273,4273,4273
Total Nacional,Islas baleares,Viajero,Extranjero,2020-10-01,26885,4274,4274,4274
Total Nacional,Islas baleares,Viajero,Extranjero,2020-09-01,59404,4275,4275,4275
Total Nacional,Islas baleares,Viajero,Extranjero,2020-08-01,256226,4276,4276,4276
Total Nacional,Islas baleares,Viajero,Extranjero,2020-07-01,263839,4277,4277,4277
Total Nacional,Islas baleares,Viajero,Extranjero,2020-06-01,5824,4278,4278,4278
Total Nacional,Islas baleares,Viajero,Extranjero,2020-05-01,158,4279,4279,4279
Total Nacional,Islas baleares,Viajero,Extranjero,2020-04-01,0,4280,4280,4280
Total Nacional,Islas baleares,Viajero,Extranjero,2020-03-01,55721,4281,4281,4281
Total Nacional,Islas baleares,Viajero,Extranjero,2020-02-01,84874,4282,4282,4282
Total Nacional,Islas baleares,Viajero,Extranjero,2020-01-01,41350,4283,4283,4283
Total Nacional,Islas baleares,Pernoctaciones,General,2020-12-01,44115,4284,4284,4284
Total Nacional,Islas baleares,Pernoctaciones,General,2020-11-01,49276,4285,4285,4285
Total Nacional,Islas baleares,Pernoctaciones,General,2020-10-01,170840,4286,4286,4286
Total Nacional,Islas baleares,Pernoctaciones,General,2020-09-01,585444,4287,4287,4287
Total Nacional,Islas baleares,Pernoctaciones,General,2020-08-01,2169131,4288,4288,4288
Total Nacional,Islas baleares,Pernoctaciones,General,2020-07-01,1744346,4289,4289,4289
Total Nacional,Islas baleares,Pernoctaciones,General,2020-06-01,68908,4290,4290,4290
Total Nacional,Islas baleares,Pernoctaciones,General,2020-05-01,5677,4291,4291,4291
Total Nacional,Islas baleares,Pernoctaciones,General,2020-04-01,0,4292,4292,4292
Total Nacional,Islas baleares,Pernoctaciones,General,2020-03-01,363780,4293,4293,4293
Total Nacional,Islas baleares,Pernoctaciones,General,2020-02-01,530990,4294,4294,4294
Total Nacional,Islas baleares,Pernoctaciones,General,2020-01-01,231162,4295,4295,4295
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-12-01,26637,4296,4296,4296
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-11-01,31589,4297,4297,4297
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-10-01,84054,4298,4298,4298
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-09-01,329907,4299,4299,4299
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-08-01,725225,4300,4300,4300
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-07-01,321572,4301,4301,4301
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-06-01,51712,4302,4302,4302
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-05-01,5055,4303,4303,4303
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-04-01,0,4304,4304,4304
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-03-01,75721,4305,4305,4305
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-02-01,149209,4306,4306,4306
Total Nacional,Islas baleares,Pernoctaciones,Espana,2020-01-01,55272,4307,4307,4307
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-12-01,17478,4308,4308,4308
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-11-01,17687,4309,4309,4309
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-10-01,86786,4310,4310,4310
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-09-01,255537,4311,4311,4311
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-08-01,1443906,4312,4312,4312
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-07-01,1422774,4313,4313,4313
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-06-01,17196,4314,4314,4314
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-05-01,622,4315,4315,4315
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-04-01,0,4316,4316,4316
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-03-01,288059,4317,4317,4317
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-02-01,381782,4318,4318,4318
Total Nacional,Islas baleares,Pernoctaciones,Extranjero,2020-01-01,175890,4319,4319,4319
Total Nacional,Canarias,Viajero,General,2020-12-01,171890,4320,4320,4320
Total Nacional,Canarias,Viajero,General,2020-11-01,143113,4321,4321,4321
Total Nacional,Canarias,Viajero,General,2020-10-01,186163,4322,4322,4322
Total Nacional,Canarias,Viajero,General,2020-09-01,212215,4323,4323,4323
Total Nacional,Canarias,Viajero,General,2020-08-01,361641,4324,4324,4324
Total Nacional,Canarias,Viajero,General,2020-07-01,201353,4325,4325,4325
Total Nacional,Canarias,Viajero,General,2020-06-01,12356,4326,4326,4326
Total Nacional,Canarias,Viajero,General,2020-05-01,1247,4327,4327,4327
Total Nacional,Canarias,Viajero,General,2020-04-01,0,4328,4328,4328
Total Nacional,Canarias,Viajero,General,2020-03-01,342527,4329,4329,4329
Total Nacional,Canarias,Viajero,General,2020-02-01,820697,4330,4330,4330
Total Nacional,Canarias,Viajero,General,2020-01-01,745669,4331,4331,4331
Total Nacional,Canarias,Viajero,Espana,2020-12-01,67695,4332,4332,4332
Total Nacional,Canarias,Viajero,Espana,2020-11-01,58218,4333,4333,4333
Total Nacional,Canarias,Viajero,Espana,2020-10-01,118041,4334,4334,4334
Total Nacional,Canarias,Viajero,Espana,2020-09-01,160988,4335,4335,4335
Total Nacional,Canarias,Viajero,Espana,2020-08-01,225380,4336,4336,4336
Total Nacional,Canarias,Viajero,Espana,2020-07-01,103415,4337,4337,4337
Total Nacional,Canarias,Viajero,Espana,2020-06-01,10581,4338,4338,4338
Total Nacional,Canarias,Viajero,Espana,2020-05-01,955,4339,4339,4339
Total Nacional,Canarias,Viajero,Espana,2020-04-01,0,4340,4340,4340
Total Nacional,Canarias,Viajero,Espana,2020-03-01,53248,4341,4341,4341
Total Nacional,Canarias,Viajero,Espana,2020-02-01,132233,4342,4342,4342
Total Nacional,Canarias,Viajero,Espana,2020-01-01,117564,4343,4343,4343
Total Nacional,Canarias,Viajero,Extranjero,2020-12-01,104196,4344,4344,4344
Total Nacional,Canarias,Viajero,Extranjero,2020-11-01,84894,4345,4345,4345
Total Nacional,Canarias,Viajero,Extranjero,2020-10-01,68123,4346,4346,4346
Total Nacional,Canarias,Viajero,Extranjero,2020-09-01,51227,4347,4347,4347
Total Nacional,Canarias,Viajero,Extranjero,2020-08-01,136261,4348,4348,4348
Total Nacional,Canarias,Viajero,Extranjero,2020-07-01,97938,4349,4349,4349
Total Nacional,Canarias,Viajero,Extranjero,2020-06-01,1775,4350,4350,4350
Total Nacional,Canarias,Viajero,Extranjero,2020-05-01,291,4351,4351,4351
Total Nacional,Canarias,Viajero,Extranjero,2020-04-01,0,4352,4352,4352
Total Nacional,Canarias,Viajero,Extranjero,2020-03-01,289279,4353,4353,4353
Total Nacional,Canarias,Viajero,Extranjero,2020-02-01,688464,4354,4354,4354
Total Nacional,Canarias,Viajero,Extranjero,2020-01-01,628105,4355,4355,4355
Total Nacional,Canarias,Pernoctaciones,General,2020-12-01,947498,4356,4356,4356
Total Nacional,Canarias,Pernoctaciones,General,2020-11-01,780724,4357,4357,4357
Total Nacional,Canarias,Pernoctaciones,General,2020-10-01,748849,4358,4358,4358
Total Nacional,Canarias,Pernoctaciones,General,2020-09-01,959931,4359,4359,4359
Total Nacional,Canarias,Pernoctaciones,General,2020-08-01,1962136,4360,4360,4360
Total Nacional,Canarias,Pernoctaciones,General,2020-07-01,1039258,4361,4361,4361
Total Nacional,Canarias,Pernoctaciones,General,2020-06-01,29970,4362,4362,4362
Total Nacional,Canarias,Pernoctaciones,General,2020-05-01,6045,4363,4363,4363
Total Nacional,Canarias,Pernoctaciones,General,2020-04-01,0,4364,4364,4364
Total Nacional,Canarias,Pernoctaciones,General,2020-03-01,2646136,4365,4365,4365
Total Nacional,Canarias,Pernoctaciones,General,2020-02-01,5375990,4366,4366,4366
Total Nacional,Canarias,Pernoctaciones,General,2020-01-01,5585568,4367,4367,4367
Total Nacional,Canarias,Pernoctaciones,Espana,2020-12-01,204465,4368,4368,4368
Total Nacional,Canarias,Pernoctaciones,Espana,2020-11-01,157106,4369,4369,4369
Total Nacional,Canarias,Pernoctaciones,Espana,2020-10-01,372333,4370,4370,4370
Total Nacional,Canarias,Pernoctaciones,Espana,2020-09-01,575689,4371,4371,4371
Total Nacional,Canarias,Pernoctaciones,Espana,2020-08-01,908253,4372,4372,4372
Total Nacional,Canarias,Pernoctaciones,Espana,2020-07-01,368577,4373,4373,4373
Total Nacional,Canarias,Pernoctaciones,Espana,2020-06-01,24164,4374,4374,4374
Total Nacional,Canarias,Pernoctaciones,Espana,2020-05-01,4418,4375,4375,4375
Total Nacional,Canarias,Pernoctaciones,Espana,2020-04-01,0,4376,4376,4376
Total Nacional,Canarias,Pernoctaciones,Espana,2020-03-01,183551,4377,4377,4377
Total Nacional,Canarias,Pernoctaciones,Espana,2020-02-01,453723,4378,4378,4378
Total Nacional,Canarias,Pernoctaciones,Espana,2020-01-01,493404,4379,4379,4379
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-12-01,743033,4380,4380,4380
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-11-01,623618,4381,4381,4381
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-10-01,376516,4382,4382,4382
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-09-01,384243,4383,4383,4383
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-08-01,1053882,4384,4384,4384
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-07-01,670681,4385,4385,4385
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-06-01,5807,4386,4386,4386
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-05-01,1627,4387,4387,4387
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-04-01,0,4388,4388,4388
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-03-01,2462585,4389,4389,4389
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-02-01,4922267,4390,4390,4390
Total Nacional,Canarias,Pernoctaciones,Extranjero,2020-01-01,5092164,4391,4391,4391
Total Nacional,Cantabria,Viajero,General,2020-12-01,11124,4392,4392,4392
Total Nacional,Cantabria,Viajero,General,2020-11-01,9397,4393,4393,4393
Total Nacional,Cantabria,Viajero,General,2020-10-01,47117,4394,4394,4394
Total Nacional,Cantabria,Viajero,General,2020-09-01,87867,4395,4395,4395
Total Nacional,Cantabria,Viajero,General,2020-08-01,184907,4396,4396,4396
Total Nacional,Cantabria,Viajero,General,2020-07-01,143132,4397,4397,4397
Total Nacional,Cantabria,Viajero,General,2020-06-01,18267,4398,4398,4398
Total Nacional,Cantabria,Viajero,General,2020-05-01,867,4399,4399,4399
Total Nacional,Cantabria,Viajero,General,2020-04-01,0,4400,4400,4400
Total Nacional,Cantabria,Viajero,General,2020-03-01,27633,4401,4401,4401
Total Nacional,Cantabria,Viajero,General,2020-02-01,56353,4402,4402,4402
Total Nacional,Cantabria,Viajero,General,2020-01-01,49849,4403,4403,4403
Total Nacional,Cantabria,Viajero,Espana,2020-12-01,9628,4404,4404,4404
Total Nacional,Cantabria,Viajero,Espana,2020-11-01,7965,4405,4405,4405
Total Nacional,Cantabria,Viajero,Espana,2020-10-01,41686,4406,4406,4406
Total Nacional,Cantabria,Viajero,Espana,2020-09-01,80866,4407,4407,4407
Total Nacional,Cantabria,Viajero,Espana,2020-08-01,170793,4408,4408,4408
Total Nacional,Cantabria,Viajero,Espana,2020-07-01,128918,4409,4409,4409
Total Nacional,Cantabria,Viajero,Espana,2020-06-01,16674,4410,4410,4410
Total Nacional,Cantabria,Viajero,Espana,2020-05-01,796,4411,4411,4411
Total Nacional,Cantabria,Viajero,Espana,2020-04-01,0,4412,4412,4412
Total Nacional,Cantabria,Viajero,Espana,2020-03-01,22968,4413,4413,4413
Total Nacional,Cantabria,Viajero,Espana,2020-02-01,47170,4414,4414,4414
Total Nacional,Cantabria,Viajero,Espana,2020-01-01,42180,4415,4415,4415
Total Nacional,Cantabria,Viajero,Extranjero,2020-12-01,1495,4416,4416,4416
Total Nacional,Cantabria,Viajero,Extranjero,2020-11-01,1432,4417,4417,4417
Total Nacional,Cantabria,Viajero,Extranjero,2020-10-01,5431,4418,4418,4418
Total Nacional,Cantabria,Viajero,Extranjero,2020-09-01,7001,4419,4419,4419
Total Nacional,Cantabria,Viajero,Extranjero,2020-08-01,14114,4420,4420,4420
Total Nacional,Cantabria,Viajero,Extranjero,2020-07-01,14213,4421,4421,4421
Total Nacional,Cantabria,Viajero,Extranjero,2020-06-01,1593,4422,4422,4422
Total Nacional,Cantabria,Viajero,Extranjero,2020-05-01,70,4423,4423,4423
Total Nacional,Cantabria,Viajero,Extranjero,2020-04-01,0,4424,4424,4424
Total Nacional,Cantabria,Viajero,Extranjero,2020-03-01,4666,4425,4425,4425
Total Nacional,Cantabria,Viajero,Extranjero,2020-02-01,9183,4426,4426,4426
Total Nacional,Cantabria,Viajero,Extranjero,2020-01-01,7668,4427,4427,4427
Total Nacional,Cantabria,Pernoctaciones,General,2020-12-01,22112,4428,4428,4428
Total Nacional,Cantabria,Pernoctaciones,General,2020-11-01,19384,4429,4429,4429
Total Nacional,Cantabria,Pernoctaciones,General,2020-10-01,86971,4430,4430,4430
Total Nacional,Cantabria,Pernoctaciones,General,2020-09-01,180523,4431,4431,4431
Total Nacional,Cantabria,Pernoctaciones,General,2020-08-01,467296,4432,4432,4432
Total Nacional,Cantabria,Pernoctaciones,General,2020-07-01,316522,4433,4433,4433
Total Nacional,Cantabria,Pernoctaciones,General,2020-06-01,33991,4434,4434,4434
Total Nacional,Cantabria,Pernoctaciones,General,2020-05-01,2636,4435,4435,4435
Total Nacional,Cantabria,Pernoctaciones,General,2020-04-01,0,4436,4436,4436
Total Nacional,Cantabria,Pernoctaciones,General,2020-03-01,47658,4437,4437,4437
Total Nacional,Cantabria,Pernoctaciones,General,2020-02-01,102078,4438,4438,4438
Total Nacional,Cantabria,Pernoctaciones,General,2020-01-01,91995,4439,4439,4439
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-12-01,17920,4440,4440,4440
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-11-01,14911,4441,4441,4441
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-10-01,76489,4442,4442,4442
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-09-01,166992,4443,4443,4443
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-08-01,439373,4444,4444,4444
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-07-01,288146,4445,4445,4445
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-06-01,30338,4446,4446,4446
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-05-01,1904,4447,4447,4447
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-04-01,0,4448,4448,4448
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-03-01,40304,4449,4449,4449
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-02-01,83048,4450,4450,4450
Total Nacional,Cantabria,Pernoctaciones,Espana,2020-01-01,75147,4451,4451,4451
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-12-01,4193,4452,4452,4452
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-11-01,4473,4453,4453,4453
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-10-01,10482,4454,4454,4454
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-09-01,13531,4455,4455,4455
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-08-01,27923,4456,4456,4456
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-07-01,28377,4457,4457,4457
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-06-01,3654,4458,4458,4458
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-05-01,732,4459,4459,4459
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-04-01,0,4460,4460,4460
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-03-01,7354,4461,4461,4461
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-02-01,19030,4462,4462,4462
Total Nacional,Cantabria,Pernoctaciones,Extranjero,2020-01-01,16848,4463,4463,4463
Total Nacional,Castilla y leon,Viajero,General,2020-12-01,66232,4464,4464,4464
Total Nacional,Castilla y leon,Viajero,General,2020-11-01,62126,4465,4465,4465
Total Nacional,Castilla y leon,Viajero,General,2020-10-01,146487,4466,4466,4466
Total Nacional,Castilla y leon,Viajero,General,2020-09-01,204926,4467,4467,4467
Total Nacional,Castilla y leon,Viajero,General,2020-08-01,336759,4468,4468,4468
Total Nacional,Castilla y leon,Viajero,General,2020-07-01,242023,4469,4469,4469
Total Nacional,Castilla y leon,Viajero,General,2020-06-01,49536,4470,4470,4470
Total Nacional,Castilla y leon,Viajero,General,2020-05-01,3012,4471,4471,4471
Total Nacional,Castilla y leon,Viajero,General,2020-04-01,0,4472,4472,4472
Total Nacional,Castilla y leon,Viajero,General,2020-03-01,114710,4473,4473,4473
Total Nacional,Castilla y leon,Viajero,General,2020-02-01,317479,4474,4474,4474
Total Nacional,Castilla y leon,Viajero,General,2020-01-01,257120,4475,4475,4475
Total Nacional,Castilla y leon,Viajero,Espana,2020-12-01,57292,4476,4476,4476
Total Nacional,Castilla y leon,Viajero,Espana,2020-11-01,54598,4477,4477,4477
Total Nacional,Castilla y leon,Viajero,Espana,2020-10-01,126760,4478,4478,4478
Total Nacional,Castilla y leon,Viajero,Espana,2020-09-01,180776,4479,4479,4479
Total Nacional,Castilla y leon,Viajero,Espana,2020-08-01,292332,4480,4480,4480
Total Nacional,Castilla y leon,Viajero,Espana,2020-07-01,205170,4481,4481,4481
Total Nacional,Castilla y leon,Viajero,Espana,2020-06-01,44298,4482,4482,4482
Total Nacional,Castilla y leon,Viajero,Espana,2020-05-01,2687,4483,4483,4483
Total Nacional,Castilla y leon,Viajero,Espana,2020-04-01,0,4484,4484,4484
Total Nacional,Castilla y leon,Viajero,Espana,2020-03-01,96333,4485,4485,4485
Total Nacional,Castilla y leon,Viajero,Espana,2020-02-01,269095,4486,4486,4486
Total Nacional,Castilla y leon,Viajero,Espana,2020-01-01,210657,4487,4487,4487
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-12-01,8940,4488,4488,4488
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-11-01,7528,4489,4489,4489
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-10-01,19727,4490,4490,4490
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-09-01,24150,4491,4491,4491
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-08-01,44427,4492,4492,4492
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-07-01,36853,4493,4493,4493
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-06-01,5238,4494,4494,4494
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-05-01,325,4495,4495,4495
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-04-01,0,4496,4496,4496
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-03-01,18377,4497,4497,4497
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-02-01,48384,4498,4498,4498
Total Nacional,Castilla y leon,Viajero,Extranjero,2020-01-01,46463,4499,4499,4499
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-12-01,126788,4500,4500,4500
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-11-01,134990,4501,4501,4501
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-10-01,264175,4502,4502,4502
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-09-01,354432,4503,4503,4503
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-08-01,596918,4504,4504,4504
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-07-01,416267,4505,4505,4505
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-06-01,97084,4506,4506,4506
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-05-01,13262,4507,4507,4507
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-04-01,0,4508,4508,4508
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-03-01,220260,4509,4509,4509
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-02-01,529968,4510,4510,4510
Total Nacional,Castilla y leon,Pernoctaciones,General,2020-01-01,436743,4511,4511,4511
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-12-01,108808,4512,4512,4512
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-11-01,116521,4513,4513,4513
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-10-01,230063,4514,4514,4514
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-09-01,313675,4515,4515,4515
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-08-01,532268,4516,4516,4516
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-07-01,362529,4517,4517,4517
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-06-01,87957,4518,4518,4518
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-05-01,9633,4519,4519,4519
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-04-01,0,4520,4520,4520
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-03-01,180069,4521,4521,4521
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-02-01,446204,4522,4522,4522
Total Nacional,Castilla y leon,Pernoctaciones,Espana,2020-01-01,358916,4523,4523,4523
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-12-01,17980,4524,4524,4524
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-11-01,18469,4525,4525,4525
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-10-01,34113,4526,4526,4526
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-09-01,40758,4527,4527,4527
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-08-01,64651,4528,4528,4528
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-07-01,53738,4529,4529,4529
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-06-01,9127,4530,4530,4530
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-05-01,3628,4531,4531,4531
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-04-01,0,4532,4532,4532
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-03-01,40191,4533,4533,4533
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-02-01,83765,4534,4534,4534
Total Nacional,Castilla y leon,Pernoctaciones,Extranjero,2020-01-01,77827,4535,4535,4535
Total Nacional,Castilla la mancha,Viajero,General,2020-12-01,48102,4536,4536,4536
Total Nacional,Castilla la mancha,Viajero,General,2020-11-01,47687,4537,4537,4537
Total Nacional,Castilla la mancha,Viajero,General,2020-10-01,89089,4538,4538,4538
Total Nacional,Castilla la mancha,Viajero,General,2020-09-01,98651,4539,4539,4539
Total Nacional,Castilla la mancha,Viajero,General,2020-08-01,132565,4540,4540,4540
Total Nacional,Castilla la mancha,Viajero,General,2020-07-01,104837,4541,4541,4541
Total Nacional,Castilla la mancha,Viajero,General,2020-06-01,31666,4542,4542,4542
Total Nacional,Castilla la mancha,Viajero,General,2020-05-01,5322,4543,4543,4543
Total Nacional,Castilla la mancha,Viajero,General,2020-04-01,0,4544,4544,4544
Total Nacional,Castilla la mancha,Viajero,General,2020-03-01,66917,4545,4545,4545
Total Nacional,Castilla la mancha,Viajero,General,2020-02-01,162063,4546,4546,4546
Total Nacional,Castilla la mancha,Viajero,General,2020-01-01,128267,4547,4547,4547
Total Nacional,Castilla la mancha,Viajero,Espana,2020-12-01,44761,4548,4548,4548
Total Nacional,Castilla la mancha,Viajero,Espana,2020-11-01,44363,4549,4549,4549
Total Nacional,Castilla la mancha,Viajero,Espana,2020-10-01,81374,4550,4550,4550
Total Nacional,Castilla la mancha,Viajero,Espana,2020-09-01,90641,4551,4551,4551
Total Nacional,Castilla la mancha,Viajero,Espana,2020-08-01,121390,4552,4552,4552
Total Nacional,Castilla la mancha,Viajero,Espana,2020-07-01,94068,4553,4553,4553
Total Nacional,Castilla la mancha,Viajero,Espana,2020-06-01,29188,4554,4554,4554
Total Nacional,Castilla la mancha,Viajero,Espana,2020-05-01,4629,4555,4555,4555
Total Nacional,Castilla la mancha,Viajero,Espana,2020-04-01,0,4556,4556,4556
Total Nacional,Castilla la mancha,Viajero,Espana,2020-03-01,58878,4557,4557,4557
Total Nacional,Castilla la mancha,Viajero,Espana,2020-02-01,139562,4558,4558,4558
Total Nacional,Castilla la mancha,Viajero,Espana,2020-01-01,101477,4559,4559,4559
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-12-01,3341,4560,4560,4560
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-11-01,3324,4561,4561,4561
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-10-01,7715,4562,4562,4562
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-09-01,8011,4563,4563,4563
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-08-01,11175,4564,4564,4564
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-07-01,10769,4565,4565,4565
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-06-01,2479,4566,4566,4566
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-05-01,693,4567,4567,4567
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-04-01,0,4568,4568,4568
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-03-01,8039,4569,4569,4569
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-02-01,22501,4570,4570,4570
Total Nacional,Castilla la mancha,Viajero,Extranjero,2020-01-01,26790,4571,4571,4571
Total Nacional,Castilla la mancha,Pernoctaciones,General,2020-12-01,82789,4572,4572,4572
Total Nacional,Castilla la mancha,Pernoctaciones,General,2020-11-01,92080,4573,4573,4573
Total Nacional,Castilla la mancha,Pernoctaciones,General,2020-10-01,153322,4574,4574,4574
