Totales_Territoriales,Comunidades_Ciudades_Autonomas,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_viajeros,ID_pernoctaciones,ID_total
Total Nacional,Andalucia,Viajero,Extranjero,2023-04-01,868321,77,77,77
Total Nacional,Andalucia,Viajero,Extranjero,2023-03-01,607902,78,78,78
Total Nacional,Andalucia,Viajero,Extranjero,2023-02-01,427886,79,79,79
Total Nacional,Andalucia,Viajero,Extranjero,2023-01-01,390275,80,80,80
Total Nacional,Andalucia,Pernoctaciones,General,2023-09-01,6002929,81,81,81
Total Nacional,Andalucia,Pernoctaciones,General,2023-08-01,7410119,82,82,82
Total Nacional,Andalucia,Pernoctaciones,General,2023-07-01,6684443,83,83,83
Total Nacional,Andalucia,Pernoctaciones,General,2023-06-01,5583974,84,84,84
Total Nacional,Andalucia,Pernoctaciones,General,2023-05-01,5070812,85,85,85
Total Nacional,Andalucia,Pernoctaciones,General,2023-04-01,4788837,86,86,86
Total Nacional,Andalucia,Pernoctaciones,General,2023-03-01,3359313,87,87,87
Total Nacional,Andalucia,Pernoctaciones,General,2023-02-01,2558320,88,88,88
Total Nacional,Andalucia,Pernoctaciones,General,2023-01-01,2129016,89,89,89
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-09-01,2588824,90,90,90
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-08-01,4134216,91,91,91
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-07-01,3657286,92,92,92
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-06-01,2605778,93,93,93
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-05-01,1987664,94,94,94
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-04-01,2145264,95,95,95
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-03-01,1591594,96,96,96
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-02-01,1304787,97,97,97
Total Nacional,Andalucia,Pernoctaciones,Espana,2023-01-01,1068246,98,98,98
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-09-01,3414106,99,99,99
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-08-01,3275902,100,100,100
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-07-01,3027157,101,101,101
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-06-01,2978196,102,102,102
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-05-01,3083147,103,103,103
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-04-01,2643572,104,104,104
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-03-01,1767718,105,105,105
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-02-01,1253533,106,106,106
Total Nacional,Andalucia,Pernoctaciones,Extranjero,2023-01-01,1060770,107,107,107
Total Nacional,Aragon,Viajero,General,2023-09-01,269453,108,108,108
Total Nacional,Aragon,Viajero,General,2023-08-01,343606,109,109,109
Total Nacional,Aragon,Viajero,General,2023-07-01,286801,110,110,110
Total Nacional,Aragon,Viajero,General,2023-06-01,237781,111,111,111
Total Nacional,Aragon,Viajero,General,2023-05-01,214817,112,112,112
Total Nacional,Aragon,Viajero,General,2023-04-01,251264,113,113,113
Total Nacional,Aragon,Viajero,General,2023-03-01,217002,114,114,114
Total Nacional,Aragon,Viajero,General,2023-02-01,195743,115,115,115
Total Nacional,Aragon,Viajero,General,2023-01-01,167204,116,116,116
Total Nacional,Aragon,Viajero,Espana,2023-09-01,202669,117,117,117
Total Nacional,Aragon,Viajero,Espana,2023-08-01,261497,118,118,118
Total Nacional,Aragon,Viajero,Espana,2023-07-01,214812,119,119,119
Total Nacional,Aragon,Viajero,Espana,2023-06-01,181632,120,120,120
Total Nacional,Aragon,Viajero,Espana,2023-05-01,154276,121,121,121
Total Nacional,Aragon,Viajero,Espana,2023-04-01,204494,122,122,122
Total Nacional,Aragon,Viajero,Espana,2023-03-01,182496,123,123,123
Total Nacional,Aragon,Viajero,Espana,2023-02-01,165397,124,124,124
Total Nacional,Aragon,Viajero,Espana,2023-01-01,141767,125,125,125
Total Nacional,Aragon,Viajero,Extranjero,2023-09-01,66783,126,126,126
Total Nacional,Aragon,Viajero,Extranjero,2023-08-01,82109,127,127,127
Total Nacional,Aragon,Viajero,Extranjero,2023-07-01,71989,128,128,128
Total Nacional,Aragon,Viajero,Extranjero,2023-06-01,56149,129,129,129
Total Nacional,Aragon,Viajero,Extranjero,2023-05-01,60541,130,130,130
Total Nacional,Aragon,Viajero,Extranjero,2023-04-01,46771,131,131,131
Total Nacional,Aragon,Viajero,Extranjero,2023-03-01,34506,132,132,132
Total Nacional,Aragon,Viajero,Extranjero,2023-02-01,30346,133,133,133
Total Nacional,Aragon,Viajero,Extranjero,2023-01-01,25437,134,134,134
Total Nacional,Aragon,Pernoctaciones,General,2023-09-01,508254,135,135,135
Total Nacional,Aragon,Pernoctaciones,General,2023-08-01,702806,136,136,136
Total Nacional,Aragon,Pernoctaciones,General,2023-07-01,580680,137,137,137
Total Nacional,Aragon,Pernoctaciones,General,2023-06-01,459903,138,138,138
