Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-09-30,71636,72
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-08-31,61180,73
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-07-31,53065,74
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-06-30,57525,75
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-05-31,80597,76
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-04-30,70737,77
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-03-31,51761,78
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-02-28,39465,79
Total Nacional,Andalucia,Cordoba,Pernoctaciones,Extranjero,2023-01-31,33443,80
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-09-30,546853,81
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-08-31,585900,82
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-07-31,511116,83
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-06-30,467905,84
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-05-31,464921,85
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-04-30,506660,86
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-03-31,426846,87
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-02-28,383736,88
Total Nacional,Andalucia,Granada,Pernoctaciones,General,2023-01-31,349411,89
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-09-30,289553,90
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-08-31,378221,91
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-07-31,309452,92
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-06-30,252073,93
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-05-31,216941,94
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-04-30,278231,95
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-03-31,261863,96
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-02-28,251559,97
Total Nacional,Andalucia,Granada,Pernoctaciones,Espana,2023-01-31,234827,98
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-09-30,257300,99
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-08-31,207679,100
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-07-31,201664,101
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-06-30,215832,102
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-05-31,247981,103
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-04-30,228429,104
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-03-31,164983,105
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-02-28,132177,106
Total Nacional,Andalucia,Granada,Pernoctaciones,Extranjero,2023-01-31,114584,107
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-09-30,545065,108
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-08-31,752225,109
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-07-31,679947,110
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-06-30,500239,111
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-05-31,359487,112
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-04-30,327921,113
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-03-31,119627,114
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-02-28,77733,115
Total Nacional,Andalucia,Huelva,Pernoctaciones,General,2023-01-31,67320,116
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-09-30,310599,117
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-08-31,536618,118
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-07-31,497374,119
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-06-30,316976,120
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-05-31,226759,121
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-04-30,212599,122
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-03-31,88598,123
Total Nacional,Andalucia,Huelva,Pernoctaciones,Espana,2023-02-28,56050,124
