Totales_Territoriales,Comunidades_Ciudades_Autonomas,Provincia,Viajeros_Pernoctaciones,Residencia,Periodo,Total,ID_pernoctaciones
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-09-30,1521054,3657
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-08-31,1605684,3658
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-07-31,1016258,3659
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-06-30,500438,3660
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-05-31,336571,3661
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-04-30,257784,3662
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-03-31,227464,3663
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-02-28,164506,3664
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,General,2021-01-31,153785,3665
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-12-31,276203,3666
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-11-30,243079,3667
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-10-31,338699,3668
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-09-30,401913,3669
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-08-31,614926,3670
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-07-31,422129,3671
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-06-30,213978,3672
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-05-31,131694,3673
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-04-30,89676,3674
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-03-31,88617,3675
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-02-28,61814,3676
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Espana,2021-01-31,49996,3677
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-12-31,1414193,3678
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-11-30,1664085,3679
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-10-31,1578630,3680
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-09-30,1119142,3681
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-08-31,990758,3682
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-07-31,594128,3683
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-06-30,286460,3684
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-05-31,204877,3685
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-04-30,168108,3686
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-03-31,138847,3687
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-02-28,102692,3688
Total Nacional,Canarias,Sta. cruz de tenerife,Pernoctaciones,Extranjero,2021-01-31,103789,3689
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-12-31,85447,3690
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-11-30,110838,3691
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-10-31,226126,3692
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-09-30,325114,3693
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-08-31,553446,3694
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-07-31,416907,3695
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-06-30,185583,3696
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-05-31,72284,3697
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-04-30,31963,3698
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-03-31,31810,3699
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-02-28,28829,3700
Total Nacional,Cantabria,Cantabria,Pernoctaciones,General,2021-01-31,23164,3701
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-12-31,67915,3702
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-11-30,81878,3703
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-10-31,172125,3704
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-09-30,262629,3705
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-08-31,493718,3706
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-07-31,365705,3707
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-06-30,166178,3708
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-05-31,65115,3709
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-04-30,27475,3710
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-03-31,28314,3711
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-02-28,25241,3712
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Espana,2021-01-31,20049,3713
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-12-31,17532,3714
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-11-30,28960,3715
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-10-31,54001,3716
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-09-30,62485,3717
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-08-31,59728,3718
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-07-31,51202,3719
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-06-30,19406,3720
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-05-31,7169,3721
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-04-30,4488,3722
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-03-31,3497,3723
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-02-28,3587,3724
Total Nacional,Cantabria,Cantabria,Pernoctaciones,Extranjero,2021-01-31,3115,3725
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-12-31,36348,3726
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-11-30,34256,3727
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-10-31,51822,3728
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-09-30,48847,3729
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-08-31,76982,3730
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-07-31,52981,3731
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-06-30,36085,3732
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-05-31,21195,3733
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-04-30,11045,3734
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-03-31,11084,3735
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-02-28,7536,3736
Total Nacional,Castilla y leon,Avila,Pernoctaciones,General,2021-01-31,4953,3737
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-12-31,32374,3738
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-11-30,30078,3739
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-10-31,45771,3740
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-09-30,43648,3741
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-08-31,72341,3742
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-07-31,48294,3743
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-06-30,32832,3744
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-05-31,19564,3745
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-04-30,10284,3746
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-03-31,10420,3747
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-02-28,7153,3748
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Espana,2021-01-31,4720,3749
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-12-31,3975,3750
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-11-30,4178,3751
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-10-31,6051,3752
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-09-30,5199,3753
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-08-31,4642,3754
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-07-31,4687,3755
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-06-30,3253,3756
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-05-31,1632,3757
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-04-30,761,3758
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-03-31,664,3759
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-02-28,383,3760
Total Nacional,Castilla y leon,Avila,Pernoctaciones,Extranjero,2021-01-31,233,3761
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-12-31,66555,3762
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-11-30,77146,3763
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-10-31,116599,3764
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-09-30,109953,3765
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-08-31,156340,3766
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-07-31,107090,3767
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-06-30,62466,3768
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-05-31,42880,3769
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-04-30,27699,3770
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-03-31,24334,3771
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-02-28,19423,3772
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,General,2021-01-31,17493,3773
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-12-31,53903,3774
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-11-30,60663,3775
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-10-31,91192,3776
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-09-30,82649,3777
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-08-31,125302,3778
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-07-31,79751,3779
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-06-30,52092,3780
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-05-31,36310,3781
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-04-30,24362,3782
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-03-31,20143,3783
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-02-28,16755,3784
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Espana,2021-01-31,14197,3785
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-12-31,12652,3786
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-11-30,16484,3787
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-10-31,25407,3788
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-09-30,27304,3789
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-08-31,31038,3790
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-07-31,27339,3791
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-06-30,10375,3792
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-05-31,6571,3793
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-04-30,3336,3794
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-03-31,4191,3795
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-02-28,2668,3796
Total Nacional,Castilla y leon,Burgos,Pernoctaciones,Extranjero,2021-01-31,3295,3797
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-12-31,60529,3798
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-11-30,74048,3799
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-10-31,121800,3800
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-09-30,117061,3801
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-08-31,175628,3802
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-07-31,111715,3803
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-06-30,69323,3804
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-05-31,52253,3805
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-04-30,40962,3806
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-03-31,31955,3807
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-02-28,20889,3808
Total Nacional,Castilla y leon,Leon,Pernoctaciones,General,2021-01-31,20518,3809
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-12-31,55166,3810
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-11-30,66065,3811
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-10-31,103680,3812
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-09-30,96037,3813
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-08-31,161908,3814
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-07-31,98731,3815
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-06-30,62374,3816
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-05-31,48940,3817
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-04-30,39012,3818
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-03-31,30083,3819
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-02-28,19614,3820
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Espana,2021-01-31,19008,3821
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-12-31,5363,3822
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-11-30,7983,3823
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-10-31,18120,3824
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-09-30,21024,3825
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-08-31,13720,3826
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-07-31,12984,3827
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-06-30,6950,3828
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-05-31,3313,3829
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-04-30,1950,3830
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-03-31,1873,3831
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-02-28,1275,3832
Total Nacional,Castilla y leon,Leon,Pernoctaciones,Extranjero,2021-01-31,1510,3833
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-12-31,15517,3834
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-11-30,21864,3835
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-10-31,32317,3836
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-09-30,33320,3837
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-08-31,49803,3838
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-07-31,35145,3839
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-06-30,21372,3840
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-05-31,14621,3841
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-04-30,9773,3842
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-03-31,9113,3843
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-02-28,6618,3844
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,General,2021-01-31,5721,3845
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-12-31,14250,3846
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-11-30,18724,3847
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-10-31,27027,3848
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-09-30,27585,3849
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-08-31,44778,3850
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-07-31,30641,3851
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-06-30,19633,3852
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-05-31,12765,3853
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-04-30,9011,3854
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-03-31,8295,3855
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-02-28,6012,3856
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Espana,2021-01-31,4868,3857
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-12-31,1267,3858
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-11-30,3140,3859
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-10-31,5290,3860
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-09-30,5736,3861
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-08-31,5025,3862
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-07-31,4504,3863
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-06-30,1740,3864
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-05-31,1856,3865
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-04-30,763,3866
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-03-31,819,3867
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-02-28,606,3868
Total Nacional,Castilla y leon,Palencia,Pernoctaciones,Extranjero,2021-01-31,854,3869
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-12-31,90086,3870
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-11-30,103748,3871
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-10-31,154460,3872
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-09-30,140273,3873
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-08-31,178897,3874
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-07-31,116121,3875
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-06-30,76830,3876
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-05-31,55770,3877
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-04-30,30251,3878
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-03-31,30727,3879
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-02-28,20638,3880
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,General,2021-01-31,17655,3881
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-12-31,76370,3882
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-11-30,85718,3883
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-10-31,124456,3884
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-09-30,115932,3885
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-08-31,149969,3886
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-07-31,96034,3887
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-06-30,65055,3888
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-05-31,48878,3889
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-04-30,28253,3890
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-03-31,27715,3891
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-02-28,18946,3892
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Espana,2021-01-31,15820,3893
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-12-31,13716,3894
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-11-30,18030,3895
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-10-31,30004,3896
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-09-30,24341,3897
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-08-31,28927,3898
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-07-31,20087,3899
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-06-30,11776,3900
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-05-31,6892,3901
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-04-30,1999,3902
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-03-31,3012,3903
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-02-28,1692,3904
Total Nacional,Castilla y leon,Salamanca,Pernoctaciones,Extranjero,2021-01-31,1835,3905
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-12-31,49024,3906
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-11-30,51733,3907
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-10-31,83961,3908
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-09-30,71632,3909
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-08-31,104815,3910
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-07-31,78745,3911
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-06-30,47793,3912
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-05-31,29296,3913
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-04-30,14213,3914
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-03-31,13690,3915
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-02-28,8614,3916
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,General,2021-01-31,3659,3917
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-12-31,38950,3918
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-11-30,38744,3919
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-10-31,67581,3920
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-09-30,54664,3921
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-08-31,95117,3922
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-07-31,71953,3923
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-06-30,43953,3924
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-05-31,23441,3925
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-04-30,10328,3926
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-03-31,9788,3927
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-02-28,5164,3928
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Espana,2021-01-31,3343,3929
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-12-31,10074,3930
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-11-30,12989,3931
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-10-31,16381,3932
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-09-30,16968,3933
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-08-31,9698,3934
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-07-31,6791,3935
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-06-30,3840,3936
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-05-31,5855,3937
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-04-30,3885,3938
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-03-31,3902,3939
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-02-28,3450,3940
Total Nacional,Castilla y leon,Segovia,Pernoctaciones,Extranjero,2021-01-31,317,3941
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-12-31,21032,3942
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-11-30,26476,3943
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-10-31,43463,3944
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-09-30,40966,3945
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-08-31,58971,3946
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-07-31,41245,3947
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-06-30,30865,3948
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-05-31,19919,3949
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-04-30,14268,3950
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-03-31,11728,3951
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-02-28,7965,3952
Total Nacional,Castilla y leon,Soria,Pernoctaciones,General,2021-01-31,7014,3953
Total Nacional,Castilla y leon,Soria,Pernoctaciones,Espana,2021-12-31,19374,3954
Total Nacional,Castilla y leon,Soria,Pernoctaciones,Espana,2021-11-30,23608,3955
Total Nacional,Castilla y leon,Soria,Pernoctaciones,Espana,2021-10-31,39755,3956
Total Nacional,Castilla y leon,Soria,Pernoctaciones,Espana,2021-09-30,38150,3957
